freq,velocity,gain
82.0,0.1,0.0885
82.0,0.2,0.1770
82.0,0.4,0.3186
82.0,0.6,0.5044
82.0,0.8,0.7345
82.0,1.0,1.0000
110.0,0.1,0.0531
110.0,0.2,0.1062
110.0,0.4,0.2301
110.0,0.6,0.3186
110.0,0.8,0.4425
110.0,1.0,0.6018
147.0,0.1,0.0376
147.0,0.2,0.0708
147.0,0.4,0.1327
147.0,0.6,0.2301
147.0,0.8,0.2699
147.0,1.0,0.4425
196.0,0.1,0.0194
196.0,0.2,0.0398
196.0,0.4,0.0708
196.0,0.6,0.1062
196.0,0.8,0.1770
196.0,1.0,0.2301
247.0,0.1,0.0194
247.0,0.2,0.0365
247.0,0.4,0.0708
247.0,0.6,0.1062
247.0,0.8,0.1372
247.0,1.0,0.2301
330.0,0.1,0.0127
330.0,0.2,0.0243
330.0,0.4,0.0531
330.0,0.6,0.0885
330.0,0.8,0.1062
330.0,1.0,0.1770
440.0,0.1,0.0108
440.0,0.2,0.0194
440.0,0.4,0.0376
440.0,0.6,0.0531
440.0,0.8,0.0885
440.0,1.0,0.1239
523.0,0.1,0.0065
523.0,0.2,0.0147
523.0,0.4,0.0310
523.0,0.6,0.0531
523.0,0.8,0.0708
523.0,1.0,0.1062
659.0,0.1,0.0065
659.0,0.2,0.0108
659.0,0.4,0.0243
659.0,0.6,0.0442
659.0,0.8,0.0708
659.0,1.0,0.1062
784.0,0.1,0.0065
784.0,0.2,0.0108
784.0,0.4,0.0243
784.0,0.6,0.0398
784.0,0.8,0.0708
784.0,1.0,0.1062
880.0,0.1,0.0065
880.0,0.2,0.0108
880.0,0.4,0.0210
880.0,0.6,0.0398
880.0,0.8,0.0619
880.0,1.0,0.1062
1047.0,0.1,0.0065
1047.0,0.2,0.0108
1047.0,0.4,0.0243
1047.0,0.6,0.0442
1047.0,0.8,0.0708
1047.0,1.0,0.1327
