frequency,velocity,gain,pressure,mouthPosition,breathiness
220.0,0.1,0.014323,0.77,0.6,0.12
220.0,0.2,0.048611,0.77,0.6,0.13
220.0,0.5,0.266667,0.77,0.6,0.14
220.0,0.8,0.677083,0.77,0.6,0.12
220.0,1.0,0.902778,0.77,0.6,0.1
246.94,0.1,0.012370,0.77,0.58,0.12
246.94,0.2,0.046181,0.77,0.58,0.13
246.94,0.5,0.222222,0.77,0.58,0.14
246.94,0.8,0.555556,0.77,0.58,0.12
246.94,1.0,0.902778,0.77,0.58,0.1
261.63,0.1,0.014323,0.77,0.57,0.13
261.63,0.2,0.040104,0.8,0.57,0.14
261.63,0.5,0.222222,0.77,0.57,0.15
261.63,0.8,0.638889,0.77,0.57,0.13
261.63,1.0,1.000000,0.77,0.57,0.11
293.66,0.1,0.012370,0.8,0.55,0.13
293.66,0.2,0.058333,0.77,0.55,0.14
293.66,0.5,0.291667,0.77,0.55,0.15
293.66,0.8,0.625000,0.77,0.55,0.13
293.66,1.0,0.902778,0.77,0.55,0.11
329.63,0.1,0.012370,0.77,0.55,0.12
329.63,0.2,0.048611,0.77,0.55,0.13
329.63,0.5,0.270833,0.77,0.55,0.14
329.63,0.8,0.631944,0.77,0.55,0.12
329.63,1.0,0.906250,0.77,0.55,0.1
349.23,0.1,0.014323,0.77,0.55,0.12
349.23,0.2,0.047743,0.77,0.55,0.13
349.23,0.5,0.260417,0.77,0.55,0.14
349.23,0.8,0.555556,0.77,0.55,0.12
349.23,1.0,0.847222,0.77,0.55,0.1
392.0,0.1,0.014323,0.77,0.55,0.11
392.0,0.2,0.048611,0.77,0.55,0.12
392.0,0.5,0.270833,0.77,0.55,0.13
392.0,0.8,0.555556,0.77,0.55,0.11
392.0,1.0,0.902778,0.77,0.55,0.09
440.0,0.1,0.014025,0.77,0.55,0.1
440.0,0.2,0.049479,0.77,0.55,0.11
440.0,0.5,0.270833,0.77,0.55,0.12
440.0,0.8,0.590278,0.77,0.55,0.1
440.0,1.0,0.902778,0.77,0.55,0.08
493.88,0.1,0.012370,0.77,0.55,0.1
493.88,0.2,0.048611,0.77,0.55,0.11
493.88,0.5,0.260417,0.77,0.55,0.12
493.88,0.8,0.625000,0.77,0.55,0.1
493.88,1.0,0.902778,0.77,0.55,0.08
523.25,0.1,0.012370,0.77,0.55,0.1
523.25,0.2,0.048611,0.77,0.55,0.11
523.25,0.5,0.270833,0.77,0.55,0.12
523.25,0.8,0.555556,0.77,0.55,0.1
523.25,1.0,0.902778,0.77,0.55,0.08
587.33,0.1,0.011393,0.77,0.55,0.09
587.33,0.2,0.043750,0.77,0.55,0.1
587.33,0.5,0.225694,0.77,0.55,0.11
587.33,0.8,0.555556,0.77,0.55,0.09
587.33,1.0,0.694444,0.8,0.55,0.08
659.25,0.1,0.012370,0.77,0.55,0.09
659.25,0.2,0.048611,0.77,0.55,0.1
659.25,0.5,0.225694,0.78,0.55,0.11
659.25,0.8,0.555556,0.78,0.55,0.09
659.25,1.0,0.902778,0.77,0.55,0.08
698.46,0.1,0.011393,0.77,0.54,0.09
698.46,0.2,0.043750,0.77,0.54,0.1
698.46,0.5,0.225694,0.77,0.54,0.11
698.46,0.8,0.555556,0.77,0.54,0.09
698.46,1.0,0.798611,0.77,0.54,0.08
783.99,0.1,0.012370,0.77,0.53,0.08
783.99,0.2,0.048611,0.77,0.53,0.09
783.99,0.5,0.225694,0.78,0.53,0.1
783.99,0.8,0.494792,0.79,0.53,0.08
783.99,1.0,0.798611,0.79,0.53,0.07
880.0,0.1,0.011393,0.77,0.52,0.08
880.0,0.2,0.043750,0.77,0.52,0.09
880.0,0.5,0.225694,0.78,0.52,0.1
880.0,0.8,0.494792,0.78,0.52,0.08
880.0,1.0,0.798611,0.78,0.52,0.07
987.77,0.1,0.848958,0.65,0.51,0.08
987.77,0.2,0.058333,0.73,0.51,0.09
987.77,0.5,0.225694,0.77,0.51,0.1
987.77,0.8,0.494792,0.78,0.51,0.08
987.77,1.0,0.798611,0.78,0.51,0.07
