frequency,calibration,freq_nudge
220,-42.2,0.000000
233.082,-53.3,0.000000
246.942,-50.9,0.000000
261.626,-47.5,0.000000
277.183,-29.9,0.000000
293.665,-22.4,0.000000
311.127,-30.3,0.000000
329.628,-37.3,0.000000
349.228,-34.2,0.000000
369.994,-30.5,0.000000
391.995,-30.3,0.000000
415.305,2.8,0.000000
440,-22.7,0.000000
466.164,-19.8,0.000000
493.883,-19.7,0.000000
523.251,-17.1,0.000000
554.365,26.3,0.000000
587.33,-9.1,0.000000
622.254,36.6,0.000000
659.255,-2.7,0.000000
698.456,1.1,0.000000
739.989,3.6,0.000000
783.991,63.5,0.000000
830.609,68.8,0.000000
880,14.6,0.000000
932.328,84,0.000000
987.767,20,0.000000
1046.5,99.1,0.000000
