frequency,velocity,gain
41.0,0.1,0.0437
41.0,0.2,0.0850
41.0,0.4,0.1600
41.0,0.6,0.2800
41.0,0.8,0.5200
41.0,1.0,1.0000
55.0,0.1,0.0375
55.0,0.2,0.0700
55.0,0.4,0.1400
55.0,0.6,0.2400
55.0,0.8,0.4000
55.0,1.0,0.7200
65.0,0.1,0.0331
65.0,0.2,0.0700
65.0,0.4,0.1200
65.0,0.6,0.2000
65.0,0.8,0.3000
65.0,1.0,0.6100
82.0,0.1,0.0288
82.0,0.2,0.0550
82.0,0.4,0.1200
82.0,0.6,0.2000
82.0,0.8,0.2800
82.0,1.0,0.5200
110.0,0.1,0.0288
110.0,0.2,0.0550
110.0,0.4,0.1000
110.0,0.6,0.1600
110.0,0.8,0.2400
110.0,1.0,0.4000
147.0,0.1,0.0244
147.0,0.2,0.0437
147.0,0.4,0.0900
147.0,0.6,0.1200
147.0,0.8,0.2000
147.0,1.0,0.3000
196.0,0.1,0.0244
196.0,0.2,0.0437
196.0,0.4,0.0825
196.0,0.6,0.1200
196.0,0.8,0.1600
196.0,1.0,0.2400
247.0,0.1,0.0244
247.0,0.2,0.0437
247.0,0.4,0.0825
247.0,0.6,0.1200
247.0,0.8,0.1600
247.0,1.0,0.2400
294.0,0.1,0.0147
294.0,0.2,0.0331
294.0,0.4,0.0700
294.0,0.6,0.1000
294.0,0.8,0.1600
294.0,1.0,0.2400
330.0,0.1,0.0147
330.0,0.2,0.0288
330.0,0.4,0.0550
330.0,0.6,0.1000
330.0,0.8,0.1200
330.0,1.0,0.2000
392.0,0.1,0.0147
392.0,0.2,0.0288
392.0,0.4,0.0625
392.0,0.6,0.1000
392.0,0.8,0.1400
392.0,1.0,0.2000
