freq,velocity,gain
200.0,0.1,1.0
200.0,0.2,1.0
200.0,0.4,1.0
200.0,0.6,1.0
200.0,0.8,1.0
200.0,1.0,1.0
250.0,0.1,1.0
250.0,0.2,1.0
250.0,0.4,1.0
250.0,0.6,1.0
250.0,0.8,1.0
250.0,1.0,1.0
315.0,0.1,1.0
315.0,0.2,1.0
315.0,0.4,1.0
315.0,0.6,1.0
315.0,0.8,1.0
315.0,1.0,1.0
400.0,0.1,1.0
400.0,0.2,1.0
400.0,0.4,1.0
400.0,0.6,1.0
400.0,0.8,1.0
400.0,1.0,1.0
500.0,0.1,1.0
500.0,0.2,1.0
500.0,0.4,1.0
500.0,0.6,1.0
500.0,0.8,1.0
500.0,1.0,1.0
630.0,0.1,1.0
630.0,0.2,1.0
630.0,0.4,1.0
630.0,0.6,1.0
630.0,0.8,1.0
630.0,1.0,1.0
800.0,0.1,1.0
800.0,0.2,1.0
800.0,0.4,1.0
800.0,0.6,1.0
800.0,0.8,1.0
800.0,1.0,1.0
