frequency,velocity,gain
103.83,0.1,0.0246
103.83,0.2,0.0367
103.83,0.4,0.0609
103.83,0.6,0.0719
103.83,0.8,0.1094
103.83,1.0,0.1375
110.0,0.1,0.0246
110.0,0.2,0.0367
110.0,0.4,0.0609
110.0,0.6,0.0719
110.0,0.8,0.1094
110.0,1.0,0.1375
116.54,0.1,0.0246
116.54,0.2,0.0367
116.54,0.4,0.0609
116.54,0.6,0.0719
116.54,0.8,0.1094
116.54,1.0,0.1375
123.47,0.1,0.0040
123.47,0.2,0.0186
123.47,0.4,0.0367
123.47,0.6,0.0719
123.47,0.8,0.1094
123.47,1.0,0.1375
130.81,0.1,0.0246
130.81,0.2,0.0367
130.81,0.4,0.0609
130.81,0.6,0.0719
130.81,0.8,0.1094
130.81,1.0,0.1375
138.59,0.1,0.0246
138.59,0.2,0.0367
138.59,0.4,0.0609
138.59,0.6,0.0719
138.59,0.8,0.1094
138.59,1.0,0.1375
146.83,0.1,0.0246
146.83,0.2,0.0367
146.83,0.4,0.0609
146.83,0.6,0.1094
146.83,0.8,0.1375
146.83,1.0,0.1750
155.56,0.1,0.0164
155.56,0.2,0.0246
155.56,0.4,0.0609
155.56,0.6,0.0719
155.56,0.8,0.1094
155.56,1.0,0.1375
164.81,0.1,0.0246
164.81,0.2,0.0367
164.81,0.4,0.0609
164.81,0.6,0.1094
164.81,0.8,0.1375
164.81,1.0,0.1750
174.61,0.1,0.0246
174.61,0.2,0.0367
174.61,0.4,0.0609
174.61,0.6,0.1094
174.61,0.8,0.1375
174.61,1.0,0.1750
185.0,0.1,0.0246
185.0,0.2,0.0367
185.0,0.4,0.0719
185.0,0.6,0.1187
185.0,0.8,0.1750
185.0,1.0,0.2125
196.0,0.1,0.0246
196.0,0.2,0.0367
196.0,0.4,0.0719
196.0,0.6,0.1187
196.0,0.8,0.1750
196.0,1.0,0.2250
207.65,0.1,0.0246
207.65,0.2,0.0367
207.65,0.4,0.0828
207.65,0.6,0.1187
207.65,0.8,0.1750
207.65,1.0,0.2250
220.0,0.1,0.0246
220.0,0.2,0.0484
220.0,0.4,0.0938
220.0,0.6,0.1375
220.0,0.8,0.2062
220.0,1.0,0.2500
233.08,0.1,0.0246
233.08,0.2,0.0367
233.08,0.4,0.0828
233.08,0.6,0.1187
233.08,0.8,0.1750
233.08,1.0,0.2250
246.94,0.1,0.0246
246.94,0.2,0.0367
246.94,0.4,0.0938
246.94,0.6,0.1375
246.94,0.8,0.2062
246.94,1.0,0.2500
261.63,0.1,0.0246
261.63,0.2,0.0484
261.63,0.4,0.0938
261.63,0.6,0.1375
261.63,0.8,0.2062
261.63,1.0,0.2500
277.18,0.1,0.0246
277.18,0.2,0.0484
277.18,0.4,0.0938
277.18,0.6,0.1375
277.18,0.8,0.2062
277.18,1.0,0.2500
293.66,0.1,0.0367
293.66,0.2,0.0609
293.66,0.4,0.1187
293.66,0.6,0.1750
293.66,0.8,0.2250
293.66,1.0,0.3000
311.13,0.1,0.0367
311.13,0.2,0.0609
311.13,0.4,0.1094
311.13,0.6,0.1750
311.13,0.8,0.2250
311.13,1.0,0.3000
329.63,0.1,0.0367
329.63,0.2,0.0609
329.63,0.4,0.1187
329.63,0.6,0.1750
329.63,0.8,0.2500
329.63,1.0,0.3000
349.23,0.1,0.0367
349.23,0.2,0.0609
349.23,0.4,0.1187
349.23,0.6,0.1750
349.23,0.8,0.2500
349.23,1.0,0.3000
369.99,0.1,0.0367
369.99,0.2,0.0609
369.99,0.4,0.1187
369.99,0.6,0.1750
369.99,0.8,0.2500
369.99,1.0,0.3000
392.0,0.1,0.0367
392.0,0.2,0.0719
392.0,0.4,0.1375
392.0,0.6,0.2250
392.0,0.8,0.3000
392.0,1.0,0.4000
415.3,0.1,0.0367
415.3,0.2,0.0609
415.3,0.4,0.1187
415.3,0.6,0.1750
415.3,0.8,0.2500
415.3,1.0,0.3000
440.0,0.1,0.0367
440.0,0.2,0.0719
440.0,0.4,0.1375
440.0,0.6,0.2250
440.0,0.8,0.3000
440.0,1.0,0.4000
466.16,0.1,0.0367
466.16,0.2,0.0609
466.16,0.4,0.1375
466.16,0.6,0.2125
466.16,0.8,0.2500
466.16,1.0,0.3500
493.88,0.1,0.0367
493.88,0.2,0.0719
493.88,0.4,0.1375
493.88,0.6,0.2250
493.88,0.8,0.3000
493.88,1.0,0.4000
523.25,0.1,0.0367
523.25,0.2,0.0719
523.25,0.4,0.1375
523.25,0.6,0.2250
523.25,0.8,0.3000
523.25,1.0,0.4000
554.37,0.1,0.0367
554.37,0.2,0.0719
554.37,0.4,0.1375
554.37,0.6,0.2250
554.37,0.8,0.3000
554.37,1.0,0.4000
587.33,0.1,0.0484
587.33,0.2,0.0938
587.33,0.4,0.1750
587.33,0.6,0.2500
587.33,0.8,0.4000
587.33,1.0,0.5000
622.25,0.1,0.0484
622.25,0.2,0.0938
622.25,0.4,0.1750
622.25,0.6,0.3000
622.25,0.8,0.4000
622.25,1.0,0.5000
659.26,0.1,0.0609
659.26,0.2,0.1187
659.26,0.4,0.2250
659.26,0.6,0.3000
659.26,0.8,0.5000
659.26,1.0,0.6000
698.46,0.1,0.0609
698.46,0.2,0.1094
698.46,0.4,0.2250
698.46,0.6,0.3000
698.46,0.8,0.4000
698.46,1.0,0.6000
739.99,0.1,0.0609
739.99,0.2,0.1375
739.99,0.4,0.2500
739.99,0.6,0.4000
739.99,0.8,0.5000
739.99,1.0,0.7000
783.99,0.1,0.0609
783.99,0.2,0.1375
783.99,0.4,0.2500
783.99,0.6,0.4000
783.99,0.8,0.5000
783.99,1.0,0.7000
830.61,0.1,0.0609
830.61,0.2,0.1187
830.61,0.4,0.2250
830.61,0.6,0.3000
830.61,0.8,0.5000
830.61,1.0,0.6000
880.0,0.1,0.0609
880.0,0.2,0.1375
880.0,0.4,0.2500
880.0,0.6,0.4000
880.0,0.8,0.5000
880.0,1.0,0.7000
932.33,0.1,0.0609
932.33,0.2,0.1375
932.33,0.4,0.2500
932.33,0.6,0.4000
932.33,0.8,0.5000
932.33,1.0,0.7000
987.77,0.1,0.0938
987.77,0.2,0.1750
987.77,0.4,0.3500
987.77,0.6,0.5000
987.77,0.8,0.7000
987.77,1.0,1.0000
