frequency,velocity,gain
82.41,0.1,0.0615
82.41,0.2,0.0918
82.41,0.4,0.1523
82.41,0.6,0.1797
82.41,0.8,0.2734
82.41,1.0,0.3438
87.31,0.1,0.0615
87.31,0.2,0.0918
87.31,0.4,0.1523
87.31,0.6,0.1797
87.31,0.8,0.2734
87.31,1.0,0.3438
92.5,0.1,0.0464
92.5,0.2,0.0615
92.5,0.4,0.0918
92.5,0.6,0.1523
92.5,0.8,0.2070
92.5,1.0,0.2734
98.0,0.1,0.0464
98.0,0.2,0.0615
98.0,0.4,0.0918
98.0,0.6,0.1523
98.0,0.8,0.2070
98.0,1.0,0.2734
103.83,0.1,0.0464
103.83,0.2,0.0615
103.83,0.4,0.0918
103.83,0.6,0.1797
103.83,0.8,0.2734
103.83,1.0,0.2969
110.0,0.1,0.0464
110.0,0.2,0.0615
110.0,0.4,0.0918
110.0,0.6,0.1523
110.0,0.8,0.2344
110.0,1.0,0.2969
116.54,0.1,0.0409
116.54,0.2,0.0464
116.54,0.4,0.0615
116.54,0.6,0.0918
116.54,0.8,0.1523
116.54,1.0,0.1523
123.47,0.1,0.0409
123.47,0.2,0.0464
123.47,0.4,0.0615
123.47,0.6,0.0918
123.47,0.8,0.0918
123.47,1.0,0.1211
130.81,0.1,0.0100
130.81,0.2,0.0464
130.81,0.4,0.0615
130.81,0.6,0.0615
130.81,0.8,0.0918
130.81,1.0,0.0918
138.59,0.1,1.0000
138.59,0.2,1.0000
138.59,0.4,1.0000
138.59,0.6,1.0000
138.59,0.8,1.0000
138.59,1.0,0.1523
146.83,0.1,0.0409
146.83,0.2,0.0464
146.83,0.4,0.0615
146.83,0.6,0.0918
146.83,0.8,0.1523
146.83,1.0,0.1523
155.56,0.1,0.0100
155.56,0.2,0.0464
155.56,0.4,0.0615
155.56,0.6,0.0615
155.56,0.8,0.0918
155.56,1.0,0.0918
164.81,0.1,0.0100
164.81,0.2,0.0464
164.81,0.4,0.0615
164.81,0.6,0.0615
164.81,0.8,0.0918
164.81,1.0,0.0918
174.61,0.1,1.0000
174.61,0.2,1.0000
174.61,0.4,1.0000
174.61,0.6,1.0000
174.61,0.8,1.0000
174.61,1.0,0.1523
185.0,0.1,1.0000
185.0,0.2,1.0000
185.0,0.4,1.0000
185.0,0.6,1.0000
185.0,0.8,1.0000
185.0,1.0,0.1523
196.0,0.1,1.0000
196.0,0.2,1.0000
196.0,0.4,1.0000
196.0,0.6,1.0000
196.0,0.8,1.0000
196.0,1.0,0.0918
207.65,0.1,1.0000
207.65,0.2,1.0000
207.65,0.4,1.0000
207.65,0.6,1.0000
207.65,0.8,1.0000
207.65,1.0,0.0615
220.0,0.1,0.0100
220.0,0.2,0.0464
220.0,0.4,0.0615
220.0,0.6,0.0615
220.0,0.8,0.0918
220.0,1.0,0.0918
233.08,0.1,1.0000
233.08,0.2,1.0000
233.08,0.4,1.0000
233.08,0.6,1.0000
233.08,0.8,1.0000
233.08,1.0,0.0918
246.94,0.1,1.0000
246.94,0.2,1.0000
246.94,0.4,1.0000
246.94,0.6,1.0000
246.94,0.8,1.0000
246.94,1.0,0.0918
261.63,0.1,1.0000
261.63,0.2,1.0000
261.63,0.4,1.0000
261.63,0.6,1.0000
261.63,0.8,1.0000
261.63,1.0,0.0918
277.18,0.1,1.0000
277.18,0.2,1.0000
277.18,0.4,1.0000
277.18,0.6,1.0000
277.18,0.8,1.0000
277.18,1.0,0.0615
293.66,0.1,1.0000
293.66,0.2,1.0000
293.66,0.4,1.0000
293.66,0.6,1.0000
293.66,0.8,1.0000
293.66,1.0,0.0615
311.13,0.1,1.0000
311.13,0.2,1.0000
311.13,0.4,1.0000
311.13,0.6,1.0000
311.13,0.8,1.0000
311.13,1.0,0.0615
329.63,0.1,1.0000
329.63,0.2,1.0000
329.63,0.4,1.0000
329.63,0.6,1.0000
329.63,0.8,1.0000
329.63,1.0,0.0615
349.23,0.1,1.0000
349.23,0.2,1.0000
349.23,0.4,1.0000
349.23,0.6,1.0000
349.23,0.8,1.0000
349.23,1.0,0.0615
369.99,0.1,1.0000
369.99,0.2,1.0000
369.99,0.4,1.0000
369.99,0.6,1.0000
369.99,0.8,1.0000
369.99,1.0,0.0615
392.0,0.1,1.0000
392.0,0.2,1.0000
392.0,0.4,1.0000
392.0,0.6,1.0000
392.0,0.8,1.0000
392.0,1.0,0.0615
