frequency,velocity,gain
82.41,0.2,0.06372265625000001
82.41,0.4,0.154171875
82.41,0.6,0.29172656249999995
82.41,0.8,0.36592499999999994
82.41,1.0,0.62685546875
87.31,0.2,0.0680859375
87.31,0.4,0.14308593750000004
87.31,0.6,0.26255390624999997
87.31,0.8,0.35268750000000004
87.31,1.0,0.597091796875
98.0,0.2,0.0499296875
98.0,0.4,0.151734375
98.0,0.6,0.25087499999999996
98.0,0.8,0.383484375
98.0,1.0,0.5375166015625
110.0,0.2,0.0394625
110.0,0.4,0.11464374999999999
110.0,0.6,0.2007
110.0,0.8,0.295625
110.0,1.0,0.43001328125
123.47,0.2,0.034237500000000004
123.47,0.4,0.0944125
123.47,0.6,0.18301562499999996
123.47,0.8,0.295625
123.47,1.0,0.40375000000000005
130.81,0.2,0.0369609375
130.81,0.4,0.09711249999999999
130.81,0.6,0.16807500000000003
130.81,0.8,0.2660625
130.81,1.0,0.40375000000000005
146.83,0.2,0.0341109375
146.83,0.4,0.09822656249999999
146.83,0.6,0.17365234375000005
146.83,0.8,0.30525
146.83,1.0,0.46546875
164.81,0.2,0.02956875
164.81,0.4,0.09423749999999999
164.81,0.6,0.18208125
164.81,0.8,0.28012500000000007
164.81,1.0,0.421875
174.61,0.2,0.02956875
174.61,0.4,0.08024414062500002
174.61,0.6,0.18208125
174.61,0.8,0.28012500000000007
174.61,1.0,0.421875
196.0,0.2,0.025872656249999997
196.0,0.4,0.07489453125000001
196.0,0.6,0.14953124999999998
196.0,0.8,0.26015625000000003
196.0,1.0,0.421875
220.0,0.2,0.019619140624999996
220.0,0.4,0.06278125
220.0,0.6,0.1296875
220.0,0.8,0.22565625
220.0,1.0,0.36375
246.94,0.2,0.017021484375
246.94,0.4,0.0653625
246.94,0.6,0.14006250000000003
246.94,0.8,0.22565625
246.94,1.0,0.36375
261.63,0.2,0.01848046875
261.63,0.4,0.06614062500000001
261.63,0.6,0.1400625
261.63,0.8,0.242775
261.63,1.0,0.36375
293.66,0.2,0.0136171875
293.66,0.4,0.05026875
293.66,0.6,0.11086874999999999
293.66,0.8,0.183375
293.66,1.0,0.305625
329.63,0.2,0.0125
329.63,0.4,0.038906249999999996
329.63,0.6,0.08403749999999999
329.63,0.8,0.155625
329.63,1.0,0.27179687500000005
349.23,0.2,0.01
349.23,0.4,0.03994375
349.23,0.6,0.08403749999999999
349.23,0.8,0.14006250000000003
349.23,1.0,0.26359375
392.0,0.2,0.01
392.0,0.4,0.0299578125
392.0,0.6,0.06419531249999999
392.0,0.8,0.134625
392.0,1.0,0.21187499999999998
440.0,0.2,0.01
440.0,0.4,0.025872656249999997
440.0,0.6,0.058359375000000005
440.0,0.8,0.11671875000000001
440.0,1.0,0.18375
493.88,0.2,0.01
493.88,0.4,0.0221765625
493.88,0.6,0.05026875
493.88,0.8,0.09337499999999999
493.88,1.0,0.155625
523.25,0.2,0.01
523.25,0.4,0.020425781249999997
523.25,0.6,0.0460796875
523.25,0.8,0.07703437499999999
523.25,1.0,0.1458984375
587.33,0.2,0.01
587.33,0.4,0.0167765625
587.33,0.6,0.0342375
587.33,0.8,0.0653625
587.33,1.0,0.1246875
659.26,0.2,0.01
659.26,0.4,0.015
659.26,0.6,0.0299578125
659.26,0.8,0.05446875000000001
659.26,1.0,0.109375
698.46,0.2,0.01
698.46,0.4,0.0125
698.46,0.6,0.025872656249999997
698.46,0.8,0.0499296875
698.46,1.0,0.0940625
783.99,0.2,0.01
783.99,0.4,0.01
783.99,0.6,0.020425781249999997
783.99,0.8,0.0369609375
783.99,1.0,0.07148437500000002
880.0,0.2,0.01
880.0,0.4,0.01
880.0,0.6,0.016865625000000002
880.0,0.8,0.03141796875
880.0,1.0,0.056875
987.77,0.2,0.01
987.77,0.4,0.01
987.77,0.6,0.0125
987.77,0.8,0.02366875
987.77,1.0,0.043750000000000004
