frequency,velocity,gain
65.41,0.2,0.1911
65.41,0.4,0.4312
65.41,0.6,0.6467
65.41,0.8,0.7839
65.41,1.0,1.0000
73.42,0.2,0.1911
73.42,0.4,0.4312
73.42,0.6,0.6467
73.42,0.8,0.7839
73.42,1.0,1.0000
82.41,0.2,0.1911
82.41,0.4,0.3724
82.41,0.6,0.5487
82.41,0.8,0.7839
82.41,1.0,0.9407
87.31,0.2,0.1672
87.31,0.4,0.3430
87.31,0.6,0.4312
87.31,0.8,0.6663
87.31,1.0,0.7839
98.0,0.2,0.1433
98.0,0.4,0.3430
98.0,0.6,0.4312
98.0,0.8,0.6663
98.0,1.0,0.7839
110.0,0.2,0.1433
110.0,0.4,0.3430
110.0,0.6,0.4312
110.0,0.8,0.6663
110.0,1.0,0.7839
123.47,0.2,0.1433
123.47,0.4,0.3430
123.47,0.6,0.4312
123.47,0.8,0.6663
123.47,1.0,0.7839
130.81,0.2,0.1519
130.81,0.4,0.2940
130.81,0.6,0.4312
130.81,0.8,0.5487
130.81,1.0,0.7055
146.83,0.2,0.1433
146.83,0.4,0.2940
146.83,0.6,0.4312
146.83,0.8,0.5487
146.83,1.0,0.7055
164.81,0.2,0.1439
164.81,0.4,0.2940
164.81,0.6,0.4312
164.81,0.8,0.5487
164.81,1.0,0.6663
174.61,0.2,0.1439
174.61,0.4,0.2940
174.61,0.6,0.4312
174.61,0.8,0.5487
174.61,1.0,0.6663
196.0,0.2,0.1151
196.0,0.4,0.2254
196.0,0.6,0.3724
196.0,0.8,0.4312
196.0,1.0,0.5659
220.0,0.2,0.1151
220.0,0.4,0.2254
220.0,0.6,0.3430
220.0,0.8,0.4312
220.0,1.0,0.5487
246.94,0.2,0.1151
246.94,0.4,0.2254
246.94,0.6,0.3430
246.94,0.8,0.4312
246.94,1.0,0.5487
261.63,0.2,0.1151
261.63,0.4,0.2254
261.63,0.6,0.3430
261.63,0.8,0.4312
261.63,1.0,0.5487
293.66,0.2,0.0864
293.66,0.4,0.1672
293.66,0.6,0.2597
293.66,0.8,0.3724
293.66,1.0,0.4312
329.63,0.2,0.0864
329.63,0.4,0.1672
329.63,0.6,0.2597
329.63,0.8,0.3724
329.63,1.0,0.4312
349.23,0.2,0.0864
349.23,0.4,0.1672
349.23,0.6,0.2597
349.23,0.8,0.3724
349.23,1.0,0.4312
392.0,0.2,0.0772
392.0,0.4,0.1433
392.0,0.6,0.2254
392.0,0.8,0.3001
392.0,1.0,0.3724
440.0,0.2,0.0720
440.0,0.4,0.1433
440.0,0.6,0.2254
440.0,0.8,0.3001
440.0,1.0,0.3724
493.88,0.2,0.0675
493.88,0.4,0.1439
493.88,0.6,0.1911
493.88,0.8,0.2940
493.88,1.0,0.3430
523.25,0.2,0.0675
523.25,0.4,0.1439
523.25,0.6,0.1911
523.25,0.8,0.2940
523.25,1.0,0.3430
587.33,0.2,0.0772
587.33,0.4,0.1151
587.33,0.6,0.1911
587.33,0.8,0.2254
587.33,1.0,0.3001
659.26,0.2,0.0579
659.26,0.4,0.1151
659.26,0.6,0.1911
659.26,0.8,0.2254
659.26,1.0,0.2940
698.46,0.2,0.0579
698.46,0.4,0.1151
698.46,0.6,0.1911
698.46,0.8,0.2254
698.46,1.0,0.2940
783.99,0.2,0.0579
783.99,0.4,0.1151
783.99,0.6,0.1672
783.99,0.8,0.2254
783.99,1.0,0.2597
880.0,0.2,0.0482
880.0,0.4,0.1007
880.0,0.6,0.1519
880.0,0.8,0.1911
880.0,1.0,0.2254
987.77,0.2,0.0482
987.77,0.4,0.1007
987.77,0.6,0.1519
987.77,0.8,0.1911
987.77,1.0,0.2254
