frequency,velocity,gain,pressure,mouthPosition,breathiness,buzzIntensity,buzzFrequency
293.66,0.1,0.15,0.75,0.55,0.02,0.35,2200
293.66,0.2,0.30,0.75,0.55,0.02,0.35,2200
293.66,0.5,0.60,0.75,0.55,0.02,0.35,2200
293.66,0.8,0.80,0.75,0.55,0.02,0.35,2200
293.66,1.0,1.00,0.75,0.55,0.02,0.35,2200
329.63,0.1,0.15,0.75,0.54,0.02,0.35,2200
329.63,0.2,0.30,0.75,0.54,0.02,0.35,2200
329.63,0.5,0.60,0.75,0.54,0.02,0.35,2200
329.63,0.8,0.80,0.75,0.54,0.02,0.35,2200
329.63,1.0,1.00,0.75,0.54,0.02,0.35,2200
349.23,0.1,0.15,0.75,0.54,0.02,0.38,2200
349.23,0.2,0.30,0.75,0.54,0.02,0.38,2200
349.23,0.5,0.60,0.75,0.54,0.02,0.38,2200
349.23,0.8,0.80,0.75,0.54,0.02,0.38,2200
349.23,1.0,1.00,0.75,0.54,0.02,0.38,2200
392.00,0.1,0.15,0.78,0.53,0.03,0.38,2200
392.00,0.2,0.30,0.78,0.53,0.03,0.38,2200
392.00,0.5,0.60,0.78,0.53,0.03,0.38,2200
392.00,0.8,0.85,0.78,0.53,0.03,0.38,2200
392.00,1.0,1.00,0.78,0.53,0.03,0.38,2200
440.00,0.1,0.15,0.78,0.53,0.03,0.40,2200
440.00,0.2,0.35,0.78,0.53,0.03,0.40,2200
440.00,0.5,0.65,0.78,0.53,0.03,0.40,2200
440.00,0.8,0.85,0.78,0.53,0.03,0.40,2200
440.00,1.0,1.00,0.78,0.53,0.03,0.40,2200
493.88,0.1,0.15,0.78,0.53,0.03,0.40,2200
493.88,0.2,0.35,0.78,0.53,0.03,0.40,2200
493.88,0.5,0.65,0.78,0.53,0.03,0.40,2200
493.88,0.8,0.85,0.78,0.53,0.03,0.40,2200
493.88,1.0,1.00,0.78,0.53,0.03,0.40,2200
523.25,0.1,0.15,0.78,0.53,0.03,0.42,2200
523.25,0.2,0.35,0.78,0.53,0.03,0.42,2200
523.25,0.5,0.65,0.78,0.53,0.03,0.42,2200
523.25,0.8,0.85,0.78,0.53,0.03,0.42,2200
523.25,1.0,1.00,0.78,0.53,0.03,0.42,2200
587.33,0.1,0.15,0.78,0.52,0.03,0.42,2200
587.33,0.2,0.35,0.78,0.52,0.03,0.42,2200
587.33,0.5,0.65,0.78,0.52,0.03,0.42,2200
587.33,0.8,0.85,0.78,0.52,0.03,0.42,2200
587.33,1.0,1.00,0.78,0.52,0.03,0.42,2200
659.25,0.1,0.15,0.78,0.52,0.03,0.45,2200
659.25,0.2,0.35,0.78,0.52,0.03,0.45,2200
659.25,0.5,0.65,0.78,0.52,0.03,0.45,2200
659.25,0.8,0.85,0.78,0.52,0.03,0.45,2200
659.25,1.0,1.00,0.78,0.52,0.03,0.45,2200
698.46,0.1,0.15,0.78,0.52,0.03,0.45,2200
698.46,0.2,0.35,0.78,0.52,0.03,0.45,2200
698.46,0.5,0.65,0.78,0.52,0.03,0.45,2200
698.46,0.8,0.90,0.78,0.52,0.03,0.45,2200
698.46,1.0,1.10,0.78,0.52,0.03,0.45,2200
783.99,0.1,0.15,0.78,0.51,0.03,0.48,2200
783.99,0.2,0.35,0.78,0.51,0.03,0.48,2200
783.99,0.5,0.65,0.78,0.51,0.03,0.48,2200
783.99,0.8,0.95,0.79,0.51,0.03,0.48,2200
783.99,1.0,1.15,0.79,0.51,0.03,0.48,2200
880.00,0.1,0.15,0.78,0.50,0.03,0.48,2200
880.00,0.2,0.35,0.78,0.50,0.03,0.48,2200
880.00,0.5,0.65,0.78,0.50,0.03,0.48,2200
880.00,0.8,0.95,0.79,0.50,0.03,0.48,2200
880.00,1.0,1.15,0.79,0.50,0.03,0.48,2200
987.77,0.1,0.15,0.72,0.49,0.03,0.50,2200
987.77,0.2,0.30,0.74,0.49,0.03,0.50,2200
987.77,0.5,0.65,0.76,0.49,0.03,0.50,2200
987.77,0.8,0.95,0.78,0.49,0.03,0.50,2200
987.77,1.0,1.15,0.78,0.49,0.03,0.50,2200
1108.73,0.1,0.15,0.70,0.48,0.03,0.50,2200
1108.73,0.2,0.30,0.72,0.48,0.03,0.50,2200
1108.73,0.5,0.65,0.74,0.48,0.03,0.50,2200
1108.73,0.8,0.95,0.76,0.48,0.03,0.50,2200
1108.73,1.0,1.15,0.76,0.48,0.03,0.50,2200
1174.66,0.1,0.15,0.68,0.48,0.03,0.52,2200
1174.66,0.2,0.30,0.70,0.48,0.03,0.52,2200
1174.66,0.5,0.65,0.72,0.48,0.03,0.52,2200
1174.66,0.8,0.95,0.74,0.48,0.03,0.52,2200
1174.66,1.0,1.15,0.74,0.48,0.03,0.52,2200
1318.51,0.1,0.15,0.65,0.47,0.03,0.55,2200
1318.51,0.2,0.28,0.68,0.47,0.03,0.55,2200
1318.51,0.5,0.60,0.70,0.47,0.03,0.55,2200
