frequency,velocity,pressure,mouthPosition,calibration,loss,gain
164.81,0.1,0.62,0.5,-84.47,0.05,0.0101
164.81,0.5,0.88,0.5,-84.47,0.05,0.2453
164.81,1.0,0.95,0.5,-84.47,0.05,1.0
174.61,0.1,0.6,0.5,-102.18,0.05,0.0095
174.61,0.5,0.88,0.5,-102.18,0.05,0.2453
174.61,1.0,0.95,0.5,-102.18,0.05,0.9443
196.0,0.1,0.6,0.5,-84.47,0.05,0.0075
196.0,0.5,0.88,0.5,-84.47,0.05,0.1805
196.0,1.0,0.95,0.5,-84.47,0.05,0.7485
220.0,0.1,0.58,0.49,-84.47,0.05,0.0073
220.0,0.5,0.85,0.49,-84.47,0.05,0.1806
220.0,1.0,0.93,0.49,-84.47,0.05,0.7259
246.94,0.1,0.55,0.48,-84.47,0.05,0.0057
246.94,0.5,0.82,0.48,-84.47,0.05,0.1354
246.94,1.0,0.9,0.48,-84.47,0.05,0.5703
261.63,0.1,0.52,0.47,-67.9,0.05,0.0057
261.63,0.5,0.83,0.47,-67.9,0.05,0.1354
261.63,1.0,0.86,0.47,-67.9,0.05,0.5703
293.66,0.1,0.5,0.46,-51.17,0.05,0.0049
293.66,0.5,0.82,0.46,-51.17,0.05,0.1224
293.66,1.0,0.85,0.46,-51.17,0.05,0.4926
329.63,0.1,0.48,0.45,-51.17,0.05,0.0042
329.63,0.5,0.83,0.45,-51.17,0.05,0.1148
329.63,1.0,0.88,0.45,-51.17,0.05,0.4222
349.23,0.1,0.47,0.45,-51.17,0.05,0.0041
349.23,0.5,0.84,0.45,-51.17,0.05,0.0948
349.23,1.0,0.9,0.45,-51.17,0.05,0.4073
392.0,0.1,0.45,0.45,-50.42,0.05,0.0042
392.0,0.5,0.84,0.45,-50.42,0.05,0.1148
392.0,1.0,0.9,0.45,-50.42,0.05,0.4222
440.0,0.1,0.45,0.45,-34.28,0.05,0.0041
440.0,0.5,0.83,0.45,-34.28,0.05,0.0948
440.0,1.0,0.92,0.45,-34.28,0.05,0.4073
493.88,0.1,0.42,0.45,-34.28,0.05,0.0035
493.88,0.5,0.84,0.45,-34.28,0.05,0.0952
493.88,1.0,0.94,0.45,-34.28,0.05,0.3518
523.25,0.1,0.4,0.45,-47.90,0.05,0.0035
523.25,0.5,0.84,0.45,-47.90,0.05,0.0952
523.25,1.0,0.94,0.45,-47.90,0.05,0.3518
587.33,0.1,0.4,0.45,-51.51,0.05,0.0035
587.33,0.5,0.84,0.45,-51.51,0.05,0.0952
587.33,1.0,0.94,0.45,-51.51,0.05,0.3518
659.25,0.1,0.4,0.45,-16.19,0.05,0.0035
659.25,0.5,0.84,0.45,-16.19,0.05,0.0952
659.25,1.0,0.94,0.45,-16.19,0.05,0.3518
698.46,0.1,0.4,0.45,-51.17,0.05,0.0033
698.46,0.5,0.84,0.45,-51.17,0.05,0.0812
698.46,1.0,0.95,0.45,-51.17,0.05,0.3259
783.99,0.1,0.4,0.45,-0.0,0.05,0.0036
783.99,0.5,0.85,0.45,-0.0,0.05,0.0947
783.99,1.0,0.95,0.45,-0.0,0.05,0.3629
880.0,0.1,0.4,0.45,-67.9,0.05,0.0042
880.0,0.5,0.85,0.45,-67.9,0.05,0.1083
880.0,1.0,0.95,0.45,-67.9,0.05,0.4148
987.77,0.1,0.4,0.45,-67.9,0.05,0.0041
987.77,0.5,0.85,0.45,-67.9,0.05,0.1083
987.77,1.0,0.95,0.45,-67.9,0.05,0.4148
