frequency,calibration,freq_nudge
164.814,-115,0.000000
174.614,-120,0.000000
184.997,-105,0.000000
195.998,-100,0.000000
207.652,-110,0.000000
220,-85,0.000000
233.082,-80,0.000000
246.942,-90,0.000000
261.626,-70,0.000000
277.183,-65,0.000000
293.665,-60,0.000000
311.127,-55,0.000000
329.628,-75,0.000000
349.228,-50,0.000000
369.994,-45,0.000000
391.995,-40,0.000000
415.305,-70,0.000000
440,-35,0.000000
466.164,-65,0.000000
493.883,-65,0.000000
523.251,-25,0.000000
554.365,-25,0.000000
587.33,-60,0.000000
622.254,-65,0.000000
659.255,-50,2.200000
698.456,-55,2.600000
739.989,-55,1.800000
783.991,-5,0.000000
830.609,-5,0.000000
880,-65,0.000000
932.328,0,0.000000
987.767,-65,0.000000
1046.5,5,0.000000
1108.73,10,0.000000
1174.66,-70,0.000000
1244.51,-70,0.000000
1318.51,-75,0.000000
1396.91,20,0.000000
1479.98,25,0.000000
1567.98,-80,0.000000
1661.22,-85,0.000000
1760,-95,0.000000
1864.65,35,0.000000
1975.53,35,0.000000
