frequency,velocity,gain,strike
65.41,0.1,0.0422,0.0
65.41,0.4,0.1463,0.0
65.41,0.7,0.2730,0.0
65.41,1.0,0.4267,0.0
92.5,0.1,0.0434,0.0
92.5,0.4,0.1640,0.0
92.5,0.7,0.3587,0.0
92.5,1.0,0.6841,0.0
130.81,0.1,0.0366,0.0
130.81,0.4,0.1184,0.0
130.81,0.7,0.2148,0.0
130.81,1.0,0.3512,0.0
185.0,0.1,0.0308,0.0
185.0,0.4,0.1113,0.0
185.0,0.7,0.2285,0.0
185.0,1.0,0.3335,0.0
261.63,0.1,0.0437,0.0
261.63,0.4,0.1509,0.0
261.63,0.7,0.2733,0.0
261.63,1.0,0.5423,0.0
369.99,0.1,0.0247,0.0
369.99,0.4,0.0916,0.0
369.99,0.7,0.1797,0.0
369.99,1.0,0.2786,0.0
523.25,0.1,0.0523,0.0
523.25,0.4,0.1947,0.0
523.25,0.7,0.3461,0.0
523.25,1.0,0.5629,0.0
739.99,0.1,0.0309,0.0
739.99,0.4,0.1075,0.0
739.99,0.7,0.2105,0.0
739.99,1.0,0.3427,0.0
1046.5,0.1,0.0605,0.0
1046.5,0.4,0.2144,0.0
1046.5,0.7,0.3565,0.0
1046.5,1.0,0.5394,0.0
1479.98,0.1,0.0535,0.0
1479.98,0.4,0.2078,0.0
1479.98,0.7,0.3586,0.0
1479.98,1.0,0.5903,0.0
2093.0,0.1,0.0884,0.0
2093.0,0.4,0.3101,0.0
2093.0,0.7,0.6074,0.0
2093.0,1.0,1.0000,0.0
