frequency,velocity,gain
40.0,0.2,0.218750
40.0,0.4,0.425000
40.0,0.6,0.600000
40.0,0.8,0.800000
40.0,1.0,1.000000
55.0,0.2,0.165625
55.0,0.4,0.350000
55.0,0.6,0.500000
55.0,0.8,0.600000
55.0,1.0,0.800000
70.0,0.2,0.143750
70.0,0.4,0.275000
70.0,0.6,0.450000
70.0,0.8,0.600000
70.0,1.0,0.700000
85.0,0.2,0.143750
85.0,0.4,0.275000
85.0,0.6,0.450000
85.0,0.8,0.600000
85.0,1.0,0.700000
100.0,0.2,0.143750
100.0,0.4,0.275000
100.0,0.6,0.450000
100.0,0.8,0.600000
100.0,1.0,0.700000
