frequency,velocity,gain,pressure,mouthPosition,breathiness
110.0,0.2,0.3041,0.7,0.62,0.1
110.0,0.4,0.6083,0.7,0.62,0.1
110.0,0.6,0.9124,0.7,0.62,0.1
110.0,0.8,1.2166,0.7,0.62,0.1
110.0,1.0,1.5207,0.7,0.62,0.1
130.81,0.2,0.2816,0.71,0.62,0.05
130.81,0.4,0.5633,0.71,0.62,0.05
130.81,0.6,0.8448,0.71,0.62,0.05
130.81,0.8,1.1265,0.71,0.62,0.05
130.81,1.0,1.4081,0.71,0.62,0.05
146.83,0.2,0.2804,0.71,0.62,0.05
146.83,0.4,0.5609,0.71,0.62,0.05
146.83,0.6,0.8414,0.71,0.62,0.05
146.83,0.8,1.1219,0.71,0.62,0.05
146.83,1.0,1.4023,0.71,0.62,0.05
164.81,0.2,0.1394,0.71,0.62,0.1
164.81,0.4,0.2788,0.71,0.62,0.1
164.81,0.6,0.4183,0.71,0.62,0.1
164.81,0.8,0.5577,0.71,0.62,0.1
164.81,1.0,1.3942,0.71,0.62,0.1
174.61,0.2,0.2796,0.71,0.62,0.1
174.61,0.4,0.5592,0.71,0.62,0.1
174.61,0.6,0.8388,0.71,0.62,0.1
174.61,0.8,1.1182,0.71,0.62,0.1
174.61,1.0,1.3978,0.71,0.62,0.1
196.0,0.2,0.2402,0.74,0.62,0.1
196.0,0.4,0.4804,0.74,0.62,0.1
196.0,0.6,0.7208,0.74,0.62,0.1
196.0,0.8,0.9608,0.74,0.62,0.1
196.0,1.0,1.2012,0.74,0.62,0.1
207.65,0.2,0.241,0.74,0.62,0.1
207.65,0.4,0.4818,0.74,0.62,0.1
207.65,0.6,0.7226,0.74,0.62,0.1
207.65,0.8,0.9636,0.74,0.62,0.1
207.65,1.0,1.2044,0.74,0.62,0.1
220.0,0.2,0.2304,0.75,0.62,0.1
220.0,0.4,0.4608,0.75,0.62,0.1
220.0,0.6,0.6914,0.75,0.62,0.1
220.0,0.8,0.9216,0.75,0.62,0.1
220.0,1.0,1.152,0.75,0.62,0.1
246.94,0.2,0.2296,0.75,0.62,0.1
246.94,0.4,0.459,0.75,0.62,0.1
246.94,0.6,0.6886,0.75,0.62,0.1
246.94,0.8,0.9182,0.75,0.62,0.1
246.94,1.0,1.1476,0.75,0.62,0.1
261.63,0.2,0.23,0.75,0.62,0.1
261.63,0.4,0.46,0.75,0.62,0.1
261.63,0.6,0.69,0.75,0.62,0.1
261.63,0.8,0.92,0.75,0.62,0.1
261.63,1.0,1.15,0.75,0.62,0.1
293.66,0.2,0.2296,0.75,0.62,0.1
293.66,0.4,0.459,0.75,0.62,0.1
293.66,0.6,0.6886,0.75,0.62,0.1
293.66,0.8,0.918,0.75,0.62,0.1
293.66,1.0,1.1474,0.75,0.62,0.1
329.63,0.2,0.228,0.75,0.62,0.1
329.63,0.4,0.4562,0.75,0.62,0.1
329.63,0.6,0.6844,0.75,0.62,0.1
329.63,0.8,0.9126,0.75,0.62,0.1
329.63,1.0,1.1408,0.75,0.62,0.1
349.23,0.2,0.2282,0.75,0.62,0.1
349.23,0.4,0.4564,0.75,0.62,0.1
349.23,0.6,0.6844,0.75,0.62,0.1
349.23,0.8,0.9126,0.75,0.62,0.1
349.23,1.0,1.141,0.75,0.62,0.1
392.0,0.2,0.2278,0.75,0.62,0.1
392.0,0.4,0.4554,0.75,0.62,0.1
392.0,0.6,0.6832,0.75,0.62,0.1
392.0,0.8,0.9106,0.75,0.62,0.1
392.0,1.0,1.1384,0.75,0.62,0.1
440.0,0.2,0.2268,0.75,0.62,0.1
440.0,0.4,0.4536,0.75,0.62,0.1
440.0,0.6,0.6804,0.75,0.62,0.1
440.0,0.8,0.9072,0.75,0.62,0.1
440.0,1.0,1.1338,0.75,0.62,0.1
493.88,0.2,0.2274,0.75,0.62,0.1
493.88,0.4,0.4546,0.75,0.62,0.1
493.88,0.6,0.6816,0.75,0.62,0.1
493.88,0.8,0.909,0.75,0.62,0.1
493.88,1.0,1.1362,0.75,0.62,0.1
523.25,0.2,0.2276,0.75,0.62,0.1
523.25,0.4,0.4552,0.75,0.62,0.1
523.25,0.6,0.6828,0.75,0.62,0.1
523.25,0.8,0.9104,0.75,0.62,0.1
523.25,1.0,1.138,0.75,0.62,0.1
587.33,0.2,0.227,0.75,0.62,0.1
587.33,0.4,0.454,0.75,0.62,0.1
587.33,0.6,0.6812,0.75,0.62,0.1
587.33,0.8,0.9082,0.75,0.62,0.1
587.33,1.0,1.135,0.75,0.62,0.1
659.25,0.2,0.2276,0.75,0.62,0.1
659.25,0.4,0.4552,0.75,0.62,0.1
659.25,0.6,0.6826,0.75,0.62,0.1
659.25,0.8,0.9102,0.75,0.62,0.1
659.25,1.0,1.1376,0.75,0.62,0.1
698.46,0.2,0.2114,0.77,0.62,0.1
698.46,0.4,0.4228,0.77,0.62,0.1
698.46,0.6,0.6344,0.77,0.62,0.1
698.46,0.8,0.8458,0.77,0.62,0.1
698.46,1.0,1.0572,0.77,0.62,0.1
783.99,0.2,0.2004,0.79,0.61,0.1
783.99,0.4,0.4006,0.79,0.61,0.1
783.99,0.6,0.6008,0.79,0.61,0.1
783.99,0.8,0.8012,0.79,0.61,0.1
783.99,1.0,1.0014,0.79,0.61,0.1
880.0,0.2,0.2062,0.78,0.61,0.1
880.0,0.4,0.4124,0.78,0.61,0.1
880.0,0.6,0.6186,0.78,0.61,0.1
880.0,0.8,0.8248,0.78,0.61,0.1
880.0,1.0,1.031,0.78,0.61,0.1
987.77,0.2,0.2066,0.78,0.61,0.1
987.77,0.4,0.413,0.78,0.61,0.1
987.77,0.6,0.6196,0.78,0.61,0.1
987.77,0.8,0.826,0.78,0.61,0.1
987.77,1.0,1.0326,0.78,0.61,0.1
