frequency,velocity,gain
65.0,0.1,0.0319
65.0,0.2,0.0530
65.0,0.4,0.1196
65.0,0.6,0.1957
65.0,0.8,0.2609
65.0,1.0,0.3478
80.0,0.1,0.0319
80.0,0.2,0.0530
80.0,0.4,0.1196
80.0,0.6,0.1848
80.0,0.8,0.2609
80.0,1.0,0.3478
100.0,0.1,0.0319
100.0,0.2,0.0530
100.0,0.4,0.1033
100.0,0.6,0.1848
100.0,0.8,0.2609
100.0,1.0,0.3478
120.0,0.1,0.0319
120.0,0.2,0.0625
120.0,0.4,0.1359
120.0,0.6,0.2174
120.0,0.8,0.3478
120.0,1.0,0.4348
140.0,0.1,0.0319
140.0,0.2,0.0720
140.0,0.4,0.1522
140.0,0.6,0.2174
140.0,0.8,0.3478
140.0,1.0,0.4348
160.0,0.1,0.0530
160.0,0.2,0.1033
160.0,0.4,0.2174
160.0,0.6,0.3478
160.0,0.8,0.4348
160.0,1.0,0.6087
180.0,0.1,0.0951
180.0,0.2,0.1793
180.0,0.4,0.3478
180.0,0.6,0.5217
180.0,0.8,0.6522
180.0,1.0,0.8696
200.0,0.1,0.1033
200.0,0.2,0.1957
200.0,0.4,0.3478
200.0,0.6,0.6087
200.0,0.8,0.7391
200.0,1.0,1.0000
