frequency,amplitude,gain,pressure,mouthPosition,breathiness
110,0.1,0.1,0.77,0.65,0.020
110,0.2,0.15,0.77,0.65,0.020
110,0.5,0.3,0.77,0.65,0.020
110,0.8,0.5,0.77,0.65,0.020
110,1,0.7,0.77,0.65,0.020
130,0.1,0.1,0.77,0.65,0.020
130,0.2,0.2,0.77,0.65,0.020
130,0.5,0.4,0.77,0.65,0.020
130,0.8,0.6,0.77,0.65,0.020
130,1,0.8,0.77,0.65,0.020
146.83,0.1,0.1,0.77,0.65,0.020
146.83,0.2,0.2,0.77,0.65,0.020
146.83,0.5,0.45,0.77,0.65,0.020
146.83,0.8,0.65,0.77,0.65,0.020
146.83,1,0.85,0.77,0.65,0.020
164.81,0.1,0.1,0.77,0.65,0.020
164.81,0.2,0.2,0.77,0.65,0.020
164.81,0.5,0.5,0.77,0.65,0.020
164.81,0.8,0.7,0.77,0.65,0.020
164.81,1,0.9,0.77,0.65,0.020
174.61,0.1,0.12,0.77,0.65,0.020
174.61,0.2,0.22,0.77,0.65,0.020
174.61,0.5,0.5,0.77,0.65,0.020
174.61,0.8,0.7,0.77,0.65,0.020
174.61,1,0.9,0.77,0.65,0.020
196,0.1,0.12,0.77,0.65,0.020
196,0.2,0.25,0.77,0.65,0.020
196,0.5,0.55,0.77,0.65,0.020
196,0.8,0.75,0.77,0.65,0.020
196,1,0.95,0.77,0.65,0.020
220,0.1,0.15,0.77,0.62,0.020
220,0.2,0.28,0.77,0.62,0.020
220,0.5,0.64,0.77,0.62,0.020
220,0.8,0.75,0.77,0.62,0.020
220,1,1,0.77,0.62,0.020
246.94,0.1,0.15,0.77,0.62,0.020
246.94,0.2,0.38,0.77,0.62,0.020
246.94,0.5,0.64,0.77,0.62,0.020
246.94,0.8,0.8,0.77,0.62,0.020
246.94,1,1,0.77,0.62,0.020
261.63,0.1,0.15,0.77,0.62,0.020
261.63,0.2,0.28,0.77,0.62,0.020
261.63,0.5,0.64,0.77,0.62,0.020
261.63,0.9,0.8,0.77,0.62,0.020
261.63,1,0.8,0.77,0.62,0.020
293.66,0.1,0.15,0.77,0.62,0.020
293.66,0.2,0.24,0.77,0.62,0.020
293.66,0.5,0.7,0.77,0.62,0.020
293.66,0.8,0.9,0.77,0.62,0.020
293.66,1,1,0.77,0.62,0.020
329.63,0.1,0.15,0.77,0.60,0.020
329.63,0.2,0.28,0.77,0.60,0.020
329.63,0.5,0.65,0.77,0.60,0.020
329.63,0.8,0.7,0.77,0.60,0.020
329.63,1,0.9,0.77,0.60,0.020
349.23,0.1,0.15,0.77,0.60,0.020
349.23,0.2,0.5,0.77,0.60,0.020
349.23,0.5,0.75,0.77,0.60,0.020
349.23,0.8,0.8,0.77,0.60,0.020
349.23,1,0.8,0.77,0.60,0.020
392,0.1,0.15,0.77,0.60,0.020
392,0.2,0.28,0.77,0.60,0.020
392,0.5,0.65,0.77,0.60,0.020
392,0.9,0.8,0.77,0.60,0.020
392,1,1,0.77,0.60,0.020
440,0.1,0.55,0.77,0.60,0.020
440,0.2,0.6,0.77,0.60,0.020
440,0.5,0.65,0.77,0.60,0.020
440,0.8,0.85,0.77,0.60,0.020
440,1,1,0.77,0.60,0.020
493.88,0.1,0.15,0.77,0.60,0.020
493.88,0.2,0.4,0.77,0.60,0.020
493.88,0.5,0.75,0.77,0.60,0.020
493.88,0.8,0.9,0.77,0.60,0.020
493.88,1,1,0.77,0.60,0.020
523.25,0.1,0.15,0.77,0.58,0.020
523.25,0.2,0.4,0.77,0.58,0.020
523.25,0.5,0.65,0.77,0.58,0.020
523.25,0.8,0.8,0.77,0.58,0.020
523.25,1,1,0.77,0.58,0.020
587.33,0.1,0.15,0.77,0.58,0.020
587.33,0.2,0.28,0.77,0.58,0.020
587.33,0.5,0.65,0.77,0.58,0.020
587.33,0.8,0.8,0.77,0.58,0.020
587.33,1,1,0.77,0.58,0.020
659.25,0.1,0.15,0.77,0.58,0.020
659.25,0.2,0.28,0.77,0.58,0.020
659.25,0.5,0.65,0.77,0.58,0.020
659.25,0.8,0.8,0.77,0.58,0.020
659.25,1,1,0.77,0.58,0.020
698.46,0.1,0.15,0.77,0.58,0.020
698.46,0.2,0.28,0.77,0.58,0.020
698.46,0.5,0.65,0.77,0.58,0.020
698.46,0.8,0.8,0.77,0.58,0.020
698.46,1,1.15,0.77,0.58,0.020
783.99,0.1,0.15,0.77,0.56,0.020
783.99,0.2,0.28,0.77,0.56,0.020
783.99,0.5,0.65,0.77,0.56,0.020
783.99,0.8,0.95,0.77,0.56,0.020
783.99,1,1.15,0.77,0.56,0.020
880,0.1,0.15,0.77,0.56,0.020
880,0.2,0.28,0.77,0.56,0.020
880,0.5,0.65,0.77,0.56,0.020
880,0.8,0.95,0.77,0.56,0.020
880,1,1.15,0.77,0.56,0.020
987.77,0.1,0.15,0.77,0.56,0.020
987.77,0.2,0.28,0.77,0.56,0.020
987.77,0.5,0.65,0.77,0.56,0.020
987.77,0.8,0.95,0.77,0.56,0.020
987.77,1,1.15,0.77,0.56,0.020
