frequency,velocity,gain,calibration
92.5,0.2,0.0807,-0.0
92.5,0.4,0.1964,-0.0
92.5,0.6,0.3546,-0.0
92.5,0.8,0.5265,-0.0
92.5,1.0,0.7529,-0.0
98.0,0.2,0.0785,17.4
98.0,0.4,0.1786,17.4
98.0,0.6,0.3223,17.4
98.0,0.8,0.4513,17.4
98.0,1.0,0.7116,17.4
103.83,0.2,0.0785,17.4
103.83,0.4,0.1786,17.4
103.83,0.6,0.3223,17.4
103.83,0.8,0.4513,17.4
103.83,1.0,0.7116,17.4
110.0,0.2,0.0655,17.4
110.0,0.4,0.1473,17.4
110.0,0.6,0.274,17.4
110.0,0.8,0.4352,17.4
110.0,1.0,0.6754,17.4
116.54,0.2,0.0726,-0.0
116.54,0.4,0.1607,-0.0
116.54,0.6,0.2784,-0.0
116.54,0.8,0.4786,-0.0
116.54,1.0,0.685,-0.0
123.47,0.2,0.0667,17.4
123.47,0.4,0.1607,17.4
123.47,0.6,0.2901,17.4
123.47,0.8,0.5197,17.4
123.47,1.0,0.7253,17.4
130.81,0.2,0.0657,17.4
130.81,0.4,0.1657,17.4
130.81,0.6,0.2888,17.4
130.81,0.8,0.4733,17.4
130.81,1.0,0.6754,17.4
138.59,0.2,0.0588,17.4
138.59,0.4,0.15,17.4
138.59,0.6,0.3009,17.4
138.59,0.8,0.465,17.4
138.59,1.0,0.7258,17.4
146.83,0.2,0.0678,17.4
146.83,0.4,0.1661,17.4
146.83,0.6,0.3062,17.4
146.83,0.8,0.465,17.4
146.83,1.0,0.7291,17.4
155.56,0.2,0.0549,17.4
155.56,0.4,0.15,17.4
155.56,0.6,0.2877,17.4
155.56,0.8,0.4513,17.4
155.56,1.0,0.678,17.4
164.81,0.2,0.0659,17.4
164.81,0.4,0.1384,17.4
164.81,0.6,0.2803,17.4
164.81,0.8,0.4733,17.4
164.81,1.0,0.6754,17.4
174.61,0.2,0.049,17.4
174.61,0.4,0.1339,17.4
174.61,0.6,0.2632,17.4
174.61,0.8,0.3829,17.4
174.61,1.0,0.6293,17.4
185.0,0.2,0.0412,17.4
185.0,0.4,0.1187,17.4
185.0,0.6,0.2491,17.4
185.0,0.8,0.3573,17.4
185.0,1.0,0.5876,17.4
196.0,0.2,0.0608,17.4
196.0,0.4,0.1473,17.4
196.0,0.6,0.2923,17.4
196.0,0.8,0.4923,17.4
196.0,1.0,0.7308,17.4
207.65,0.2,0.0489,17.4
207.65,0.4,0.1385,17.4
207.65,0.6,0.2667,17.4
207.65,0.8,0.4142,17.4
207.65,1.0,0.6699,17.4
220.0,0.2,0.046,17.4
220.0,0.4,0.1464,17.4
220.0,0.6,0.2525,17.4
220.0,0.8,0.4274,17.4
220.0,1.0,0.6821,17.4
233.08,0.2,0.0462,17.4
233.08,0.4,0.1385,17.4
233.08,0.6,0.2667,17.4
233.08,0.8,0.4493,17.4
233.08,1.0,0.6699,17.4
246.94,0.2,0.0551,34.98
246.94,0.4,0.141,34.98
246.94,0.6,0.3053,34.98
246.94,0.8,0.465,34.98
246.94,1.0,0.7286,34.98
261.63,0.2,0.0551,34.98
261.63,0.4,0.141,34.98
261.63,0.6,0.3419,34.98
261.63,0.8,0.547,34.98
261.63,1.0,0.8038,34.98
277.18,0.2,0.0457,34.98
277.18,0.4,0.1377,34.98
277.18,0.6,0.2667,34.98
277.18,0.8,0.4689,34.98
277.18,1.0,0.6699,34.98
293.66,0.2,0.0309,34.98
293.66,0.4,0.1076,34.98
293.66,0.6,0.235,34.98
293.66,0.8,0.381,34.98
293.66,1.0,0.5782,34.98
311.13,0.2,0.0325,34.98
311.13,0.4,0.1067,34.98
311.13,0.6,0.2265,34.98
311.13,0.8,0.381,34.98
311.13,1.0,0.6252,34.98
329.63,0.2,0.0522,17.4
329.63,0.4,0.1377,17.4
329.63,0.6,0.3048,17.4
329.63,0.8,0.547,17.4
329.63,1.0,0.7404,17.4
349.23,0.2,0.0325,34.98
349.23,0.4,0.1077,34.98
349.23,0.6,0.1836,34.98
349.23,0.8,0.3595,34.98
349.23,1.0,0.5759,34.98
369.99,0.2,0.0471,34.98
369.99,0.4,0.1421,34.98
369.99,0.6,0.2869,34.98
369.99,0.8,0.4923,34.98
369.99,1.0,0.7551,34.98
392.0,0.2,0.0471,34.98
392.0,0.4,0.141,34.98
392.0,0.6,0.3009,34.98
392.0,0.8,0.5646,34.98
392.0,1.0,0.812,34.98
415.3,0.2,0.0471,34.98
415.3,0.4,0.1377,34.98
415.3,0.6,0.3048,34.98
415.3,0.8,0.547,34.98
415.3,1.0,0.8077,34.98
440.0,0.2,0.0271,52.73
440.0,0.4,0.0923,52.73
440.0,0.6,0.1836,52.73
440.0,0.8,0.3595,52.73
440.0,1.0,0.5359,52.73
466.16,0.2,0.0371,34.98
466.16,0.4,0.1132,34.98
466.16,0.6,0.2295,34.98
466.16,0.8,0.4571,34.98
466.16,1.0,0.6455,34.98
493.88,0.2,0.0471,52.73
493.88,0.4,0.1377,52.73
493.88,0.6,0.3048,52.73
493.88,0.8,0.547,52.73
