frequency,calibration,freq_nudge
92.5,-0,0.353189
98,17.4,-0.623265
103.83,17.4,-0.588462
110,17.4,-0.346993
116.54,-0,0.517159
123.47,17.4,-0.461042
130.81,17.4,-0.199313
138.59,17.4,-0.421458
146.83,17.4,-0.363960
155.56,17.4,-0.011714
164.81,17.4,0.022609
174.61,17.4,0.107068
185,17.4,-0.215115
196,17.4,0.220171
207.65,17.4,-0.146158
220,17.4,0.390206
233.08,17.4,-0.011575
246.94,34.98,-0.490191
261.63,34.98,-0.908370
277.18,34.98,-0.863168
293.66,34.98,-0.176782
311.13,34.98,-0.056207
329.63,17.4,1.050651
349.23,34.98,-0.538873
369.99,34.98,0.297279
392,34.98,-0.361136
415.3,34.98,0.583018
440,52.73,-0.186400
466.16,34.98,-0.064395
493.88,52.73,0.077067
523.25,34.98,0.183117
554.37,34.98,0.323470
587.33,34.98,1.636229
622.25,70.67,-0.115993
659.26,52.73,-0.249017
698.46,52.73,-0.089139
739.99,52.73,0.082445
783.99,88.8,-0.106949
830.61,52.73,0.637600
880,70.67,1.719400
