frequency,velocity,pressure,mouthPosition,breath_noise
200.0,0.1,0.60,0.50,0.02
200.0,0.5,0.88,0.50,0.05
200.0,1.0,0.95,0.50,0.08
225.0,0.1,0.58,0.49,0.02
225.0,0.5,0.85,0.49,0.05
225.0,1.0,0.93,0.49,0.08
250.0,0.1,0.55,0.48,0.02
250.0,0.5,0.82,0.48,0.05
250.0,1.0,0.90,0.48,0.08
266.6,0.1,0.52,0.47,0.02
266.6,0.5,0.83,0.47,0.05
266.6,1.0,0.86,0.47,0.08
300.0,0.1,0.50,0.46,0.02
300.0,0.5,0.82,0.46,0.05
300.0,1.0,0.85,0.46,0.08
400.0,0.1,0.45,0.45,0.02
400.0,0.5,0.84,0.45,0.05
400.0,1.0,0.90,0.45,0.08
450.0,0.5,0.82,0.45,0.05
450.0,1.0,0.92,0.45,0.08
500.0,0.5,0.84,0.45,0.05
500.0,1.0,0.94,0.45,0.08
533.3,0.5,0.85,0.45,0.05
533.3,1.0,0.95,0.45,0.08
600.0,0.1,0.40,0.45,0.02
600.0,0.5,0.85,0.45,0.05
600.0,1.0,0.95,0.45,0.08
800.0,0.1,0.40,0.45,0.02
800.0,0.5,0.85,0.45,0.05
800.0,1.0,0.95,0.45,0.08
