frequency,velocity,gain,strike
130.0,0.1,0.0902,0.0
130.0,0.4,0.3616,0.0
130.0,0.7,0.6043,0.0
130.0,1.0,0.9500,0.0
140.0,0.1,0.0800,0.0
140.0,0.4,0.3179,0.0
140.0,0.7,0.6848,0.0
140.0,1.0,1.0000,0.0
165.0,0.1,0.0754,0.0
165.0,0.4,0.2990,0.0
165.0,0.7,0.5103,0.0
165.0,1.0,0.8918,0.0
196.0,0.1,0.0811,0.0
196.0,0.4,0.3145,0.0
196.0,0.7,0.5430,0.0
196.0,1.0,0.8507,0.0
220.0,0.1,0.0533,0.0
220.0,0.4,0.2131,0.0
220.0,0.7,0.3303,0.0
220.0,1.0,0.5705,0.0
261.0,0.1,0.0683,0.0
261.0,0.4,0.2602,0.0
261.0,0.7,0.5648,0.0
261.0,1.0,0.8166,0.0
293.0,0.1,0.0503,0.0
293.0,0.4,0.1933,0.0
293.0,0.7,0.3708,0.0
293.0,1.0,0.5677,0.0
330.0,0.1,0.0516,0.0
330.0,0.4,0.2004,0.0
330.0,0.7,0.3763,0.0
330.0,1.0,0.5635,0.0
392.0,0.1,0.0634,0.0
392.0,0.4,0.2863,0.0
392.0,0.7,0.5234,0.0
392.0,1.0,0.7691,0.0
440.0,0.1,0.0359,0.0
440.0,0.4,0.1511,0.0
440.0,0.7,0.2682,0.0
440.0,1.0,0.4033,0.0
587.0,0.1,0.0496,0.0
587.0,0.4,0.2102,0.0
587.0,0.7,0.3697,0.0
587.0,1.0,0.5352,0.0
600.0,0.1,0.0335,0.0
600.0,0.4,0.1445,0.0
600.0,0.7,0.2431,0.0
600.0,1.0,0.3852,0.0
659.0,0.1,0.0314,0.0
659.0,0.4,0.1218,0.0
659.0,0.7,0.1970,0.0
659.0,1.0,0.3364,0.0
