frequency,velocity,gain
90.0,0.1,0.0061
90.0,0.2,0.0259
90.0,0.4,0.0996
90.0,0.6,0.2158
90.0,0.8,0.4149
90.0,1.0,1.0000
100.0,0.1,0.0061
100.0,0.2,0.0259
100.0,0.4,0.0996
100.0,0.6,0.2158
100.0,0.8,0.4149
100.0,1.0,1.0000
110.0,0.1,0.0061
110.0,0.2,0.0259
110.0,0.4,0.0996
110.0,0.6,0.2158
110.0,0.8,0.4149
110.0,1.0,0.9378
120.0,0.1,0.0061
120.0,0.2,0.0259
120.0,0.4,0.0996
120.0,0.6,0.2158
120.0,0.8,0.4149
120.0,1.0,0.9378
130.0,0.1,0.0061
130.0,0.2,0.0259
130.0,0.4,0.0996
130.0,0.6,0.2158
130.0,0.8,0.4149
130.0,1.0,1.0000
150.0,0.1,0.0061
150.0,0.2,0.0259
150.0,0.4,0.0996
150.0,0.6,0.2158
150.0,0.8,0.4149
150.0,1.0,1.0000
170.0,0.1,0.0061
170.0,0.2,0.0290
170.0,0.4,0.0996
170.0,0.6,0.2158
170.0,0.8,0.4149
170.0,1.0,1.0000
180.0,0.1,0.0061
180.0,0.2,0.0290
180.0,0.4,0.0996
180.0,0.6,0.2158
180.0,0.8,0.4149
180.0,1.0,1.0000
200.0,0.1,0.0061
200.0,0.2,0.0259
200.0,0.4,0.0996
200.0,0.6,0.2158
200.0,0.8,0.4149
200.0,1.0,1.0000
220.0,0.1,0.0061
220.0,0.2,0.0259
220.0,0.4,0.0996
220.0,0.6,0.2158
220.0,0.8,0.4149
220.0,1.0,1.0000
240.0,0.1,0.0061
240.0,0.2,0.0259
240.0,0.4,0.0996
240.0,0.6,0.2158
240.0,0.8,0.4149
240.0,1.0,1.0000
260.0,0.1,0.0061
260.0,0.2,0.0290
260.0,0.4,0.0996
260.0,0.6,0.2158
260.0,0.8,0.4149
260.0,1.0,1.0000
