frequency,velocity,gain
65.41,0.2,0.0004
65.41,0.4,0.0004
65.41,0.6,0.0007
65.41,0.8,0.0083
65.41,1.0,0.8958
69.3,0.2,0.0004
69.3,0.4,0.0004
69.3,0.6,0.0029
69.3,0.8,0.0118
69.3,1.0,0.8018
73.42,0.2,0.0004
73.42,0.4,0.0004
73.42,0.6,0.0014
73.42,0.8,0.0077
73.42,1.0,0.5627
77.78,0.2,0.0004
77.78,0.4,0.0004
77.78,0.6,0.0009
77.78,0.8,0.0080
77.78,1.0,0.7188
82.41,0.2,0.0004
82.41,0.4,0.0004
82.41,0.6,0.0011
82.41,0.8,0.0074
82.41,1.0,0.5210
87.31,0.2,0.0004
87.31,0.4,0.0004
87.31,0.6,0.0006
87.31,0.8,0.0060
87.31,1.0,0.8255
92.5,0.2,0.0004
92.5,0.4,0.0004
92.5,0.6,0.0005
92.5,0.8,0.0050
92.5,1.0,0.5905
98.0,0.2,0.0004
98.0,0.4,0.0004
98.0,0.6,0.0007
98.0,0.8,0.0052
98.0,1.0,0.8028
103.83,0.2,0.0004
103.83,0.4,0.0004
103.83,0.6,0.0008
103.83,0.8,0.0035
103.83,1.0,0.7073
110.0,0.2,0.0004
110.0,0.4,0.0004
110.0,0.6,0.0013
110.0,0.8,0.0055
110.0,1.0,0.6071
116.54,0.2,0.0004
116.54,0.4,0.0004
116.54,0.6,0.0022
116.54,0.8,0.0074
116.54,1.0,0.6007
123.47,0.2,0.0004
123.47,0.4,0.0004
123.47,0.6,0.0013
123.47,0.8,0.0118
123.47,1.0,0.3914
130.81,0.2,0.0004
130.81,0.4,0.0004
130.81,0.6,0.0008
130.81,0.8,0.0048
130.81,1.0,0.6732
138.59,0.2,0.0004
138.59,0.4,0.0004
138.59,0.6,0.0013
138.59,0.8,0.0030
138.59,1.0,0.5926
146.83,0.2,0.0004
146.83,0.4,0.0004
146.83,0.6,0.0008
146.83,0.8,0.0044
146.83,1.0,0.4441
155.56,0.2,0.0004
155.56,0.4,0.0004
155.56,0.6,0.0009
155.56,0.8,0.0052
155.56,1.0,0.6127
164.81,0.2,0.0004
164.81,0.4,0.0004
164.81,0.6,0.0011
164.81,0.8,0.0057
164.81,1.0,1.0000
174.61,0.2,0.0004
174.61,0.4,0.0004
174.61,0.6,0.0007
174.61,0.8,0.0039
174.61,1.0,0.8094
185.0,0.2,0.0004
185.0,0.4,0.0004
185.0,0.6,0.0007
185.0,0.8,0.0043
185.0,1.0,0.3929
196.0,0.2,0.0004
196.0,0.4,0.0004
196.0,0.6,0.0007
196.0,0.8,0.0041
196.0,1.0,0.5805
207.65,0.2,0.0004
207.65,0.4,0.0004
207.65,0.6,0.0006
207.65,0.8,0.0030
207.65,1.0,0.7658
220.0,0.2,0.0004
220.0,0.4,0.0004
220.0,0.6,0.0004
220.0,0.8,0.0030
220.0,1.0,0.6724
233.08,0.2,0.0004
233.08,0.4,0.0004
233.08,0.6,0.0005
233.08,0.8,0.0031
233.08,1.0,0.5213
246.94,0.2,0.0004
246.94,0.4,0.0004
246.94,0.6,0.0009
246.94,0.8,0.0065
246.94,1.0,0.2945
261.63,0.2,0.0004
261.63,0.4,0.0004
261.63,0.6,0.0006
261.63,0.8,0.0035
261.63,1.0,0.5359
277.18,0.2,0.0004
277.18,0.4,0.0004
277.18,0.6,0.0005
277.18,0.8,0.0029
277.18,1.0,0.7088
293.66,0.2,0.0004
293.66,0.4,0.0004
293.66,0.6,0.0005
293.66,0.8,0.0030
293.66,1.0,0.6291
311.13,0.2,0.0004
311.13,0.4,0.0004
311.13,0.6,0.0015
311.13,0.8,0.0047
311.13,1.0,0.7632
329.63,0.2,0.0004
329.63,0.4,0.0004
329.63,0.6,0.0014
329.63,0.8,0.0040
329.63,1.0,0.8291
349.23,0.2,0.0004
349.23,0.4,0.0004
349.23,0.6,0.0012
349.23,0.8,0.0037
349.23,1.0,0.5735
369.99,0.2,0.0004
369.99,0.4,0.0004
369.99,0.6,0.0016
369.99,0.8,0.0050
369.99,1.0,0.2965
392.0,0.2,0.0004
392.0,0.4,0.0004
392.0,0.6,0.0016
392.0,0.8,0.0050
392.0,1.0,0.3398
