freq,velocity,gain
100.0,0.1,0.0265
100.0,0.2,0.0352
100.0,0.4,0.0525
100.0,0.6,0.1027
100.0,0.8,0.1562
100.0,1.0,0.1964
125.0,0.1,0.0525
125.0,0.2,0.0871
125.0,0.4,0.1562
125.0,0.6,0.2500
125.0,0.8,0.4286
125.0,1.0,0.8571
160.0,0.1,0.0525
160.0,0.2,0.0871
160.0,0.4,0.1696
160.0,0.6,0.2946
160.0,0.8,0.4286
160.0,1.0,0.8571
200.0,0.1,0.0525
200.0,0.2,0.0871
200.0,0.4,0.1562
200.0,0.6,0.2500
200.0,0.8,0.4286
200.0,1.0,0.8571
250.0,0.1,0.0525
250.0,0.2,0.0871
250.0,0.4,0.1696
250.0,0.6,0.3214
250.0,0.8,0.5714
250.0,1.0,1.0000
315.0,0.1,0.0525
315.0,0.2,0.0871
315.0,0.4,0.1562
315.0,0.6,0.2500
315.0,0.8,0.4286
315.0,1.0,0.8571
400.0,0.1,0.0525
400.0,0.2,0.0871
400.0,0.4,0.1696
400.0,0.6,0.2946
400.0,0.8,0.4286
400.0,1.0,1.0000
