frequency,velocity,strike,bowVelocity,bowPosition,bowPressure,gain
110.0,0.1,0.0,0.41,0.32,0.1,0.1
110.0,0.1,1.0,0.25,0.17,0.2,0.1
110.0,0.1,2.0,0.1,0.14,0.51,0.1
110.0,0.4,0.0,0.4,0.32,0.2,0.32
110.0,0.4,1.0,0.22,0.17,0.27,0.32
110.0,0.4,2.0,0.1,0.14,0.52,0.4
110.0,0.7,0.0,0.51,0.32,0.25,0.75
110.0,0.7,1.0,0.235,0.17,0.28,0.75
110.0,0.7,2.0,0.1,0.14,0.54,0.75
110.0,1.0,0.0,0.51,0.32,0.25,1.0
110.0,1.0,1.0,0.25,0.17,0.3,1.0
110.0,1.0,2.0,0.1,0.14,0.55,1.0
146.8,0.1,0.0,0.41,0.32,0.1,0.1
146.8,0.1,1.0,0.25,0.17,0.2,0.1
146.8,0.1,2.0,0.1,0.14,0.51,0.1
146.8,0.4,0.0,0.4,0.32,0.2,0.32
146.8,0.4,1.0,0.22,0.17,0.27,0.32
146.8,0.4,2.0,0.1,0.14,0.52,0.4
146.8,0.7,0.0,0.51,0.32,0.25,0.75
146.8,0.7,1.0,0.235,0.17,0.28,0.75
146.8,0.7,2.0,0.1,0.14,0.54,0.75
146.8,1.0,0.0,0.51,0.32,0.25,1.0
146.8,1.0,1.0,0.25,0.17,0.3,1.0
146.8,1.0,2.0,0.1,0.14,0.55,1.0
196.0,0.1,0.0,0.41,0.32,0.15,0.1
196.0,0.1,1.0,0.25,0.17,0.2,0.1
196.0,0.1,2.0,0.1,0.14,0.51,0.1
196.0,0.4,0.0,0.4,0.32,0.2,0.32
196.0,0.4,1.0,0.22,0.17,0.27,0.32
196.0,0.4,2.0,0.1,0.14,0.52,0.4
196.0,0.7,0.0,0.51,0.32,0.25,0.75
196.0,0.7,1.0,0.235,0.17,0.28,0.75
196.0,0.7,2.0,0.1,0.14,0.54,0.75
196.0,1.0,0.0,0.51,0.32,0.25,1.0
196.0,1.0,1.0,0.25,0.17,0.3,1.0
196.0,1.0,2.0,0.1,0.14,0.55,1.0
220.0,0.1,0.0,0.6,0.32,0.2,0.1
220.0,0.1,1.0,0.25,0.17,0.2,0.1
220.0,0.1,2.0,0.1,0.14,0.51,0.1
220.0,0.4,0.0,0.6,0.32,0.25,0.32
220.0,0.4,1.0,0.22,0.17,0.27,0.32
220.0,0.4,2.0,0.1,0.14,0.52,0.4
220.0,0.7,0.0,0.6,0.32,0.25,0.75
