frequency,calibration,freq_nudge
195.998,0.0,0.200000
207.652,0.0,0.250000
220.0,0.0,0.300000
233.082,0.0,0.350000
246.942,0.0,0.300000
261.626,0.0,0.300000
277.183,0.0,0.400000
293.665,0.0,0.400000
311.127,0.0,0.400000
329.628,0.0,0.450000
349.228,0.0,0.500000
369.994,0.0,0.500000
391.995,0.0,0.550000
415.305,0.0,0.550000
440.0,0.0,0.600000
466.164,0.0,0.650000
493.883,0.0,0.700000
523.251,0.0,0.750000
554.365,0.0,0.800000
587.33,0.0,0.800000
622.254,0.0,0.850000
659.255,0.0,0.950000
