frequency,velocity,gain
82.41,0.2,0.5600
82.41,0.4,0.6200
82.41,0.6,0.7400
82.41,0.8,0.8000
82.41,1.0,1.0000
87.31,0.2,0.5600
87.31,0.4,0.5600
87.31,0.6,0.6975
87.31,0.8,0.8000
87.31,1.0,0.9200
92.5,0.2,0.4800
92.5,0.4,0.5200
92.5,0.6,0.5600
92.5,0.8,0.6800
92.5,1.0,0.8000
98.0,0.2,0.4400
98.0,0.4,0.4800
98.0,0.6,0.5600
98.0,0.8,0.7087
98.0,1.0,0.8000
103.83,0.2,0.4400
103.83,0.4,0.4800
103.83,0.6,0.5600
103.83,0.8,0.6300
103.83,1.0,0.8000
110.0,0.2,0.4000
110.0,0.4,0.4500
110.0,0.6,0.5600
110.0,0.8,0.6200
110.0,1.0,0.8000
116.54,0.2,0.3600
116.54,0.4,0.4000
116.54,0.6,0.4800
116.54,0.8,0.6000
116.54,1.0,0.7400
123.47,0.2,0.2800
123.47,0.4,0.3600
123.47,0.6,0.4400
123.47,0.8,0.5600
123.47,1.0,0.6800
130.81,0.2,0.2600
130.81,0.4,0.3600
130.81,0.6,0.4400
130.81,0.8,0.5600
130.81,1.0,0.6800
138.59,0.2,0.3200
138.59,0.4,0.3200
138.59,0.6,0.3200
138.59,0.8,0.3200
138.59,1.0,0.6300
146.83,0.2,0.3200
146.83,0.4,0.3200
146.83,0.6,0.3200
146.83,0.8,0.3200
146.83,1.0,0.6300
155.56,0.2,0.2200
155.56,0.4,0.3200
155.56,0.6,0.4000
155.56,0.8,0.4800
155.56,1.0,0.6200
164.81,0.2,0.2000
164.81,0.4,0.2800
164.81,0.6,0.4000
164.81,0.8,0.4800
164.81,1.0,0.6000
174.61,0.2,0.1800
174.61,0.4,0.2800
174.61,0.6,0.3600
174.61,0.8,0.4800
174.61,1.0,0.6000
185.0,0.2,0.1800
185.0,0.4,0.2800
185.0,0.6,0.3600
185.0,0.8,0.4800
185.0,1.0,0.6200
196.0,0.2,0.1700
196.0,0.4,0.2800
196.0,0.6,0.3600
196.0,0.8,0.4800
196.0,1.0,0.6200
207.65,0.2,0.1650
207.65,0.4,0.3200
207.65,0.6,0.3200
207.65,0.8,0.3200
207.65,1.0,0.6000
220.0,0.2,0.1650
220.0,0.4,0.2600
220.0,0.6,0.3600
220.0,0.8,0.4800
220.0,1.0,0.6200
233.08,0.2,0.1650
233.08,0.4,0.2600
233.08,0.6,0.3600
233.08,0.8,0.4800
233.08,1.0,0.6200
246.94,0.2,0.1550
246.94,0.4,0.2400
246.94,0.6,0.4800
246.94,0.8,0.3200
246.94,1.0,0.6000
261.63,0.2,0.1650
261.63,0.4,0.3200
261.63,0.6,0.3200
261.63,0.8,0.3200
261.63,1.0,0.6000
277.18,0.2,0.3200
277.18,0.4,0.3200
277.18,0.6,0.3200
277.18,0.8,0.3200
277.18,1.0,0.5600
293.66,0.2,0.1400
293.66,0.4,0.2400
293.66,0.6,0.3200
293.66,0.8,0.4400
293.66,1.0,0.5600
311.13,0.2,0.1250
311.13,0.4,0.2200
311.13,0.6,0.3200
311.13,0.8,0.4400
311.13,1.0,0.5600
329.63,0.2,0.1325
329.63,0.4,0.2400
329.63,0.6,0.3200
329.63,0.8,0.4400
329.63,1.0,0.5600
349.23,0.2,0.1400
349.23,0.4,0.2400
349.23,0.6,0.3200
349.23,0.8,0.4400
349.23,1.0,0.5600
369.99,0.2,0.1325
369.99,0.4,0.2400
369.99,0.6,0.3200
369.99,0.8,0.4400
369.99,1.0,0.5600
392.0,0.2,0.1250
392.0,0.4,0.2400
392.0,0.6,0.3200
392.0,0.8,0.4400
392.0,1.0,0.5600
415.3,0.2,0.1250
415.3,0.4,0.2200
415.3,0.6,0.3200
415.3,0.8,0.4400
415.3,1.0,0.5600
440.0,0.2,0.1250
440.0,0.4,0.2200
440.0,0.6,0.3200
440.0,0.8,0.4400
440.0,1.0,0.5600
466.16,0.2,0.1250
466.16,0.4,0.2200
466.16,0.6,0.3200
466.16,0.8,0.4400
466.16,1.0,0.5600
493.88,0.2,0.1250
493.88,0.4,0.2200
493.88,0.6,0.3200
493.88,0.8,0.4400
493.88,1.0,0.5600
523.25,0.2,0.1250
523.25,0.4,0.2200
523.25,0.6,0.3200
523.25,0.8,0.4400
523.25,1.0,0.5600
554.37,0.2,0.1175
554.37,0.4,0.2200
554.37,0.6,0.3200
554.37,0.8,0.4400
554.37,1.0,0.5600
587.33,0.2,0.1250
587.33,0.4,0.2200
587.33,0.6,0.3200
587.33,0.8,0.4400
587.33,1.0,0.5600
622.25,0.2,0.1100
622.25,0.4,0.2000
622.25,0.6,0.3200
622.25,0.8,0.4400
622.25,1.0,0.5600
659.26,0.2,0.1100
659.26,0.4,0.2000
659.26,0.6,0.3200
659.26,0.8,0.4400
659.26,1.0,0.5600
698.46,0.2,0.1100
698.46,0.4,0.2000
698.46,0.6,0.3200
698.46,0.8,0.4400
698.46,1.0,0.5600
739.99,0.2,0.1100
