frequency,velocity,gain,pressure,mouthPosition,breathiness
220.00,0.1,0.15,0.77,0.60,0.12
220.00,0.2,0.28,0.77,0.60,0.13
220.00,0.5,0.64,0.77,0.60,0.14
220.00,0.8,0.75,0.77,0.60,0.12
220.00,1.0,1.0,0.77,0.60,0.10
246.94,0.1,0.15,0.77,0.58,0.12
246.94,0.2,0.38,0.77,0.58,0.13
246.94,0.5,0.64,0.77,0.58,0.14
246.94,0.8,0.80,0.77,0.58,0.12
246.94,1.0,1.0,0.77,0.58,0.10
261.63,0.1,0.15,0.77,0.57,0.13
261.63,0.2,0.28,0.8,0.57,0.14
261.63,0.5,0.64,0.77,0.57,0.15
261.63,0.9,0.80,0.77,0.57,0.13
261.63,1.0,0.80,0.77,0.57,0.11
293.66,0.1,0.15,0.8,0.55,0.13
293.66,0.2,0.24,0.77,0.55,0.14
293.66,0.5,0.70,0.77,0.55,0.15
293.66,0.8,0.9,0.77,0.55,0.13
293.66,1.0,1.0,0.77,0.55,0.11
329.63,0.1,0.15,0.77,0.55,0.12
329.63,0.2,0.28,0.77,0.55,0.13
329.63,0.5,0.65,0.77,0.55,0.14
329.63,0.8,0.70,0.77,0.55,0.12
329.63,1.0,0.9,0.77,0.55,0.10
349.23,0.1,0.15,0.77,0.55,0.12
349.23,0.2,0.5,0.77,0.55,0.13
349.23,0.5,0.75,0.77,0.55,0.14
349.23,0.8,0.80,0.77,0.55,0.12
349.23,1.0,0.80,0.77,0.55,0.10
392.00,0.1,0.15,0.77,0.55,0.11
392.00,0.2,0.28,0.77,0.55,0.12
392.00,0.5,0.65,0.77,0.55,0.13
392.00,0.9,0.80,0.77,0.55,0.11
392.00,1.0,1.00,0.77,0.55,0.09
440.00,0.1,0.55,0.77,0.55,0.10
440.00,0.2,0.60,0.77,0.55,0.11
440.00,0.5,0.65,0.77,0.55,0.12
440.00,0.8,0.85,0.77,0.55,0.10
440.00,1.0,1.00,0.77,0.55,0.08
493.88,0.1,0.15,0.77,0.55,0.10
493.88,0.2,0.40,0.77,0.55,0.11
493.88,0.5,0.75,0.77,0.55,0.12
493.88,0.8,0.9,0.77,0.55,0.10
493.88,1.0,1.0,0.77,0.55,0.08
523.25,0.1,0.15,0.77,0.55,0.10
523.25,0.2,0.40,0.77,0.55,0.11
523.25,0.5,0.65,0.77,0.55,0.12
523.25,0.8,0.8,0.77,0.55,0.10
523.25,1.0,1.0,0.77,0.55,0.08
587.33,0.1,0.15,0.77,0.55,0.09
587.33,0.2,0.28,0.77,0.55,0.10
587.33,0.5,0.65,0.77,0.55,0.11
587.33,0.8,0.8,0.77,0.55,0.09
587.33,1.0,1.0,0.80,0.55,0.08
659.25,0.1,0.15,0.77,0.55,0.09
659.25,0.2,0.28,0.77,0.55,0.10
659.25,0.5,0.65,0.78,0.55,0.11
659.25,0.8,0.8,0.78,0.55,0.09
659.25,1.0,1.0,0.77,0.55,0.08
698.46,0.1,0.15,0.77,0.54,0.09
698.46,0.2,0.28,0.77,0.54,0.10
698.46,0.5,0.65,0.77,0.54,0.11
698.46,0.8,0.8,0.77,0.54,0.09
698.46,1.0,1.15,0.77,0.54,0.08
783.99,0.1,0.15,0.77,0.53,0.08
783.99,0.2,0.28,0.77,0.53,0.09
783.99,0.5,0.65,0.78,0.53,0.10
783.99,0.8,0.95,0.79,0.53,0.08
783.99,1.0,1.15,0.79,0.53,0.07
880.00,0.1,0.15,0.77,0.52,0.08
880.00,0.2,0.28,0.77,0.52,0.09
880.00,0.5,0.65,0.78,0.52,0.10
880.00,0.8,0.95,0.78,0.52,0.08
880.00,1.0,1.15,0.78,0.52,0.07
987.77,0.1,0.15,0.65,0.51,0.08
987.77,0.2,0.28,0.73,0.51,0.09
987.77,0.5,0.65,0.77,0.51,0.10
987.77,0.8,0.95,0.78,0.51,0.08
987.77,1.0,1.15,0.78,0.51,0.07
