frequency,velocity,gain
65.41,0.2,0.2136
65.41,0.4,0.3844
65.41,0.6,0.5241
65.41,0.8,0.6416
65.41,1.0,0.8525
69.3,0.2,0.1762
69.3,0.4,0.3018
69.3,0.6,0.4255
69.3,0.8,0.6717
69.3,1.0,0.7759
73.42,0.2,0.2327
73.42,0.4,0.3242
73.42,0.6,0.4494
73.42,0.8,0.6981
73.42,1.0,0.8071
77.78,0.2,0.2493
77.78,0.4,0.3533
77.78,0.6,0.4812
77.78,0.8,0.7479
77.78,1.0,0.8644
82.41,0.2,0.1873
82.41,0.4,0.3367
82.41,0.6,0.4592
82.41,0.8,0.6017
82.41,1.0,0.7881
87.31,0.2,0.2005
87.31,0.4,0.3089
87.31,0.6,0.4214
87.31,0.8,0.6010
87.31,1.0,0.7815
92.5,0.2,0.2066
92.5,0.4,0.3184
92.5,0.6,0.4340
92.5,0.8,0.6191
92.5,1.0,0.7924
98.0,0.2,0.1858
98.0,0.4,0.3340
98.0,0.6,0.4557
98.0,0.8,0.6500
98.0,1.0,0.8046
103.83,0.2,0.1951
103.83,0.4,0.3505
103.83,0.6,0.4780
103.83,0.8,0.6820
103.83,1.0,0.8442
110.0,0.2,0.2103
110.0,0.4,0.3780
110.0,0.6,0.5153
110.0,0.8,0.6303
110.0,1.0,0.8495
116.54,0.2,0.2213
116.54,0.4,0.3981
116.54,0.6,0.5426
116.54,0.8,0.6637
116.54,1.0,0.8946
123.47,0.2,0.2682
123.47,0.4,0.4131
123.47,0.6,0.5631
123.47,0.8,0.6887
123.47,1.0,0.9278
130.81,0.2,0.2889
130.81,0.4,0.4450
130.81,0.6,0.6069
130.81,0.8,0.7419
130.81,1.0,1.0000
