frequency,velocity,gain
207.65,0.2,1.875
207.65,0.4,1.875
207.65,0.6,1.75
207.65,0.8,1.78125
207.65,1.0,1.75
220.0,0.2,1.875
220.0,0.4,1.75
220.0,0.6,1.75
220.0,0.8,1.75
220.0,1.0,1.75
233.08,0.2,1.0
233.08,0.4,1.0
233.08,0.6,1.0
233.08,0.8,1.0
233.08,1.0,1.5
246.94,0.2,1.0
246.94,0.4,1.0
246.94,0.6,1.0
246.94,0.8,1.0
246.94,1.0,1.0
261.63,0.2,1.0
261.63,0.4,1.0
261.63,0.6,1.0
261.63,0.8,1.0
261.63,1.0,1.0
277.18,0.2,1.0
277.18,0.4,1.0
277.18,0.6,1.0
277.18,0.8,1.0
277.18,1.0,1.0
293.66,0.2,1.0
293.66,0.4,1.0
293.66,0.6,1.0
293.66,0.8,1.0
293.66,1.0,1.0
311.13,0.2,1.0
311.13,0.4,1.0
311.13,0.6,1.0
311.13,0.8,1.0
311.13,1.0,1.0
329.63,0.2,1.0
329.63,0.4,1.0
329.63,0.6,1.0
329.63,0.8,1.0
329.63,1.0,1.0
349.23,0.2,1.0
349.23,0.4,1.0
349.23,0.6,1.0
349.23,0.8,1.0
349.23,1.0,1.0
369.99,0.2,1.0
369.99,0.4,1.0
369.99,0.6,1.0
369.99,0.8,1.0
369.99,1.0,1.0
392.0,0.2,1.0
392.0,0.4,1.0
392.0,0.6,1.0
392.0,0.8,1.0
392.0,1.0,1.0
415.3,0.2,1.0
415.3,0.4,1.0
415.3,0.6,1.0
415.3,0.8,1.0
415.3,1.0,1.0
440.0,0.2,1.0
440.0,0.4,1.0
440.0,0.6,1.0
440.0,0.8,1.0
440.0,1.0,1.0
466.16,0.2,1.0
466.16,0.4,1.0
466.16,0.6,1.0
466.16,0.8,1.0
466.16,1.0,1.0
493.88,0.2,1.0
493.88,0.4,1.0
493.88,0.6,1.0
493.88,0.8,1.0
493.88,1.0,1.0
523.25,0.2,1.0
523.25,0.4,1.0
523.25,0.6,1.0
523.25,0.8,1.0
523.25,1.0,1.0
554.37,0.2,1.0
554.37,0.4,1.0
554.37,0.6,1.0
554.37,0.8,1.0
554.37,1.0,1.0
587.33,0.2,1.0
587.33,0.4,1.0
587.33,0.6,1.0
587.33,0.8,1.0
587.33,1.0,1.0
622.25,0.2,1.0
622.25,0.4,1.0
622.25,0.6,1.0
622.25,0.8,1.0
622.25,1.0,1.0
659.26,0.2,1.0
659.26,0.4,1.0
659.26,0.6,1.0
659.26,0.8,1.0
659.26,1.0,1.0
698.46,0.2,1.0
698.46,0.4,1.0
698.46,0.6,1.0
698.46,0.8,1.0
698.46,1.0,1.0
739.99,0.2,1.0
739.99,0.4,1.0
739.99,0.6,1.0
739.99,0.8,1.0
739.99,1.0,1.0
783.99,0.2,1.0
783.99,0.4,1.0
783.99,0.6,1.0
783.99,0.8,1.0
783.99,1.0,1.0
