frequency,velocity,gain,decay_scale,mallet_softness
85.0,0.1,0.0917,0.65,0.5
85.0,0.5,0.5000,0.75,0.35
85.0,1.0,1.0000,0.8,0.2
100.0,0.1,0.0747,0.68,0.48
100.0,0.5,0.3400,0.76,0.33
100.0,1.0,0.7117,0.8,0.18
111.0,0.1,0.0656,0.7,0.46
111.0,0.5,0.3033,0.78,0.31
111.0,1.0,0.6200,0.82,0.16
130.0,0.1,0.0515,0.72,0.44
130.0,0.5,0.2650,0.8,0.29
130.0,1.0,0.5250,0.84,0.14
150.0,0.1,0.0447,0.74,0.42
150.0,0.5,0.2250,0.82,0.27
150.0,1.0,0.4267,0.86,0.12
175.0,0.1,0.0275,0.76,0.4
175.0,0.5,0.3667,0.84,0.25
175.0,1.0,0.3250,0.88,0.1
200.0,0.1,0.0282,0.78,0.38
200.0,0.5,0.1283,0.86,0.23
200.0,1.0,0.2750,0.9,0.08
