frequency,velocity,gain
55.0,0.2,0.0087
55.0,0.4,0.0893
55.0,0.6,0.0049
55.0,0.8,0.0057
55.0,1.0,0.0751
58.27,0.2,0.0072
58.27,0.4,0.0041
58.27,0.6,0.0046
58.27,0.8,0.0049
58.27,1.0,0.0708
61.74,0.2,0.0079
61.74,0.4,0.0183
61.74,0.6,0.0330
61.74,0.8,0.0511
61.74,1.0,0.0751
65.41,0.2,0.0081
65.41,0.4,0.0188
65.41,0.6,0.0356
65.41,0.8,0.0465
65.41,1.0,0.0751
69.3,0.2,0.0081
69.3,0.4,0.0188
69.3,0.6,0.0356
69.3,0.8,0.0465
69.3,1.0,0.0751
73.42,0.2,0.0081
73.42,0.4,0.0181
73.42,0.6,0.0317
73.42,0.8,0.0470
73.42,1.0,0.0751
77.78,0.2,0.0076
77.78,0.4,0.0177
77.78,0.6,0.0308
77.78,0.8,0.0526
77.78,1.0,0.0726
82.41,0.2,0.0082
82.41,0.4,0.0181
82.41,0.6,0.0308
82.41,0.8,0.0431
82.41,1.0,0.0658
87.31,0.2,0.0076
87.31,0.4,0.0183
87.31,0.6,0.0290
87.31,0.8,0.0511
87.31,1.0,0.0678
92.5,0.2,0.0074
92.5,0.4,0.0183
92.5,0.6,0.0314
92.5,0.8,0.0472
92.5,1.0,0.0678
98.0,0.2,0.0066
98.0,0.4,0.0157
98.0,0.6,0.0254
98.0,0.8,0.0394
98.0,1.0,0.0603
103.83,0.2,0.0060
103.83,0.4,0.0137
103.83,0.6,0.0249
103.83,0.8,0.0422
103.83,1.0,0.0568
110.0,0.2,0.0064
110.0,0.4,0.0138
110.0,0.6,0.0263
110.0,0.8,0.0365
110.0,1.0,0.0575
116.54,0.2,0.0066
116.54,0.4,0.0157
116.54,0.6,0.0243
116.54,0.8,0.0429
116.54,1.0,0.0575
123.47,0.2,0.0070
123.47,0.4,0.0157
123.47,0.6,0.0270
123.47,0.8,0.0436
123.47,1.0,0.0655
130.81,0.2,0.0070
130.81,0.4,0.0165
130.81,0.6,0.0286
130.81,0.8,0.0436
130.81,1.0,0.0655
138.59,0.2,0.0070
138.59,0.4,0.0165
138.59,0.6,0.0286
138.59,0.8,0.0498
138.59,1.0,0.0655
146.83,0.2,0.0070
146.83,0.4,0.0165
146.83,0.6,0.0286
146.83,0.8,0.0498
146.83,1.0,0.0655
155.56,0.2,0.0069
155.56,0.4,0.0158
155.56,0.6,0.0314
155.56,0.8,0.0404
155.56,1.0,0.0655
164.81,0.2,0.0070
164.81,0.4,0.0165
164.81,0.6,0.0286
164.81,0.8,0.0498
164.81,1.0,0.0655
174.61,0.2,0.0073
174.61,0.4,0.0165
174.61,0.6,0.0272
174.61,0.8,0.0436
174.61,1.0,0.0655
185.0,0.2,0.0073
185.0,0.4,0.0173
185.0,0.6,0.0272
185.0,0.8,0.0436
185.0,1.0,0.0655
196.0,0.2,0.0073
196.0,0.4,0.0158
196.0,0.6,0.0263
196.0,0.8,0.0391
196.0,1.0,0.0613
207.65,0.2,0.0064
207.65,0.4,0.0157
207.65,0.6,0.0243
207.65,0.8,0.0429
207.65,1.0,0.0575
220.0,0.2,0.0062
220.0,0.4,0.0157
220.0,0.6,0.0243
220.0,0.8,0.0429
220.0,1.0,0.0575
233.08,0.2,0.0059
233.08,0.4,0.0158
233.08,0.6,0.0263
233.08,0.8,0.0365
233.08,1.0,0.0575
246.94,0.2,0.0071
246.94,0.4,0.0157
246.94,0.6,0.0250
246.94,0.8,0.0429
246.94,1.0,0.0613
261.63,0.2,0.0073
261.63,0.4,0.0183
261.63,0.6,0.0313
261.63,0.8,0.0494
261.63,1.0,0.0766
277.18,0.2,0.0072
277.18,0.4,0.0158
277.18,0.6,0.0275
277.18,0.8,0.0404
277.18,1.0,0.0632
293.66,0.2,0.0073
293.66,0.4,0.0173
293.66,0.6,0.0272
293.66,0.8,0.0498
293.66,1.0,0.0655
311.13,0.2,0.0073
311.13,0.4,0.0173
311.13,0.6,0.0272
311.13,0.8,0.0498
311.13,1.0,0.0655
329.63,0.2,0.0073
329.63,0.4,0.0173
329.63,0.6,0.0272
329.63,0.8,0.0498
329.63,1.0,0.0655
349.23,0.2,0.0074
349.23,0.4,0.0188
349.23,0.6,0.0297
349.23,0.8,0.0498
349.23,1.0,0.0699
369.99,0.2,0.0074
369.99,0.4,0.0188
369.99,0.6,0.0297
369.99,0.8,0.0498
369.99,1.0,0.0699
392.0,0.2,0.0080
392.0,0.4,0.0188
392.0,0.6,0.0297
392.0,0.8,0.0498
392.0,1.0,0.0699
415.3,0.2,0.0080
415.3,0.4,0.0188
415.3,0.6,0.0294
415.3,0.8,0.0498
415.3,1.0,0.0699
440.0,0.2,0.0073
440.0,0.4,0.0165
440.0,0.6,0.0272
440.0,0.8,0.0422
440.0,1.0,0.0655
466.16,0.2,0.0070
466.16,0.4,0.0188
466.16,0.6,0.0308
466.16,0.8,0.0467
466.16,1.0,0.0695
493.88,0.2,0.0076
493.88,0.4,0.0209
493.88,0.6,0.0330
493.88,0.8,0.0526
493.88,1.0,0.0753
523.25,0.2,0.0095
523.25,0.4,0.0263
523.25,0.6,0.0404
523.25,0.8,0.0627
523.25,1.0,0.0977
554.37,0.2,0.0100
554.37,0.4,0.0228
554.37,0.6,0.0393
554.37,0.8,0.0620
554.37,1.0,0.0845
587.33,0.2,0.0113
587.33,0.4,0.0261
587.33,0.6,0.0432
587.33,0.8,0.0720
587.33,1.0,0.1020
622.25,0.2,0.0114
622.25,0.4,0.0246
622.25,0.6,0.0392
622.25,0.8,0.0639
622.25,1.0,0.0961
659.26,0.2,0.0113
659.26,0.4,0.0261
659.26,0.6,0.0451
659.26,0.8,0.0738
659.26,1.0,0.1046
698.46,0.2,0.0110
698.46,0.4,0.0284
698.46,0.6,0.0459
698.46,0.8,0.0691
698.46,1.0,0.1004
739.99,0.2,0.0116
739.99,0.4,0.0266
739.99,0.6,0.0444
739.99,0.8,0.0617
739.99,1.0,0.0973
783.99,0.2,0.0104
783.99,0.4,0.0249
783.99,0.6,0.0427
783.99,0.8,0.0727
783.99,1.0,0.0975
830.61,0.2,0.0095
830.61,0.4,0.0251
830.61,0.6,0.0417
830.61,0.8,0.0656
830.61,1.0,0.0981
880.0,0.2,0.0115
880.0,0.4,0.0827
880.0,0.6,0.1376
880.0,0.8,0.1786
880.0,1.0,0.0956
932.33,0.2,0.0431
932.33,0.4,0.0945
932.33,0.6,0.1507
932.33,0.8,0.2188
932.33,1.0,0.1047
987.77,0.2,0.0095
987.77,0.4,0.0225
987.77,0.6,0.0375
987.77,0.8,0.0604
987.77,1.0,0.0881
1046.5,0.2,0.0863
1046.5,0.4,0.1785
1046.5,0.6,0.2428
1046.5,0.8,0.4034
1046.5,1.0,0.1129
1108.73,0.2,0.0134
1108.73,0.4,0.0342
1108.73,0.6,0.3847
1108.73,0.8,0.5325
1108.73,1.0,0.1047
1174.66,0.2,0.2045
1174.66,0.4,0.4071
1174.66,0.6,0.5833
1174.66,0.8,1.0000
1174.66,1.0,0.1503
1244.51,0.2,0.0080
1244.51,0.4,0.0080
1244.51,0.6,0.0080
1244.51,0.8,0.0086
1244.51,1.0,0.2002
1318.51,0.2,0.0007
1318.51,0.4,0.0007
1318.51,0.6,0.0007
1318.51,0.8,0.0007
1318.51,1.0,0.2002
1396.91,0.2,0.0158
1396.91,0.4,0.0158
1396.91,0.6,0.0158
1396.91,0.8,0.0170
1396.91,1.0,0.2002
1479.98,0.2,0.0046
1479.98,0.4,0.0049
1479.98,0.6,0.0051
1479.98,0.8,0.0055
1479.98,1.0,0.2002
1567.98,0.2,0.0061
1567.98,0.4,0.0068
1567.98,0.6,0.0068
1567.98,0.8,0.0074
1567.98,1.0,0.2988
1661.22,0.2,0.0007
1661.22,0.4,0.0007
1661.22,0.6,0.0007
1661.22,0.8,0.0007
1661.22,1.0,0.2988
1760.0,0.2,0.0525
1760.0,0.4,0.1126
1760.0,0.6,0.1934
1760.0,0.8,0.2581
1760.0,1.0,0.3941
1864.66,0.2,0.0750
1864.66,0.4,0.1394
1864.66,0.6,0.2238
1864.66,0.8,0.3270
1864.66,1.0,0.4958
1975.53,0.2,0.1251
1975.53,0.4,0.2501
1975.53,0.6,0.4168
1975.53,0.8,0.5833
1975.53,1.0,0.8900
