frequency,velocity,gain
92.5,0.2,0.064544677734375
92.5,0.4,0.13092041015625
92.5,0.6,0.236328125
92.5,0.8,0.30078125
92.5,1.0,0.37633544921874995
98.0,0.2,0.06275177001953125
98.0,0.4,0.142822265625
98.0,0.6,0.21484375
98.0,0.8,0.30078125
98.0,1.0,0.35571655273437497
103.83,0.2,0.06275177001953125
103.83,0.4,0.142822265625
103.83,0.6,0.21484375
103.83,0.8,0.30078125
103.83,1.0,0.35571655273437497
110.0,0.2,0.05824148654937744
110.0,0.4,0.117828369140625
110.0,0.6,0.1826171875
110.0,0.8,0.2900390625
110.0,1.0,0.337626953125
116.54,0.2,0.0580902099609375
116.54,0.4,0.1285400390625
116.54,0.6,0.185546875
116.54,0.8,0.2734375
116.54,1.0,0.3424137115478516
123.47,0.2,0.05333900451660156
123.47,0.4,0.1285400390625
123.47,0.6,0.193359375
123.47,0.8,0.259765625
123.47,1.0,0.32227172851562497
130.81,0.2,0.05835914611816406
130.81,0.4,0.11046409606933594
130.81,0.6,0.192474365234375
130.81,0.8,0.236572265625
130.81,1.0,0.337626953125
138.59,0.2,0.04706382751464844
138.59,0.4,0.0999755859375
138.59,0.6,0.150390625
138.59,0.8,0.232421875
138.59,1.0,0.29025390625
146.83,0.2,0.0451812744140625
146.83,0.4,0.110687255859375
146.83,0.6,0.153076171875
146.83,0.8,0.232421875
146.83,1.0,0.29158691406250004
155.56,0.2,0.043926239013671875
155.56,0.4,0.0999755859375
155.56,0.6,0.143798828125
155.56,0.8,0.2255859375
155.56,1.0,0.27113037109375004
164.81,0.2,0.05271148681640625
164.81,0.4,0.110687255859375
164.81,0.6,0.1868133544921875
164.81,0.8,0.236572265625
164.81,1.0,0.337626953125
174.61,0.2,0.03921985626220703
174.61,0.4,0.089263916015625
174.61,0.6,0.150390625
174.61,0.8,0.19140625
174.61,1.0,0.25164794921875
185.0,0.2,0.032944679260253906
185.0,0.4,0.0791473388671875
185.0,0.6,0.124542236328125
185.0,0.8,0.1785888671875
185.0,1.0,0.2349853515625
196.0,0.2,0.04863262176513672
196.0,0.4,0.117828369140625
196.0,0.6,0.1669921875
196.0,0.8,0.24609375
196.0,1.0,0.32470703125
207.65,0.2,0.0391387939453125
207.65,0.4,0.09228515625
207.65,0.6,0.15234375
207.65,0.8,0.20703125
207.65,1.0,0.26788330078125
220.0,0.2,0.030658721923828125
220.0,0.4,0.0731964111328125
220.0,0.6,0.126220703125
220.0,0.8,0.1708984375
220.0,1.0,0.227294921875
233.08,0.2,0.03696441650390625
233.08,0.4,0.09228515625
233.08,0.6,0.15234375
233.08,0.8,0.1796875
233.08,1.0,0.26788330078125
246.94,0.2,0.04410552978515625
246.94,0.4,0.093994140625
246.94,0.6,0.152587890625
246.94,0.8,0.232421875
246.94,1.0,0.2913818359375
261.63,0.2,0.036754608154296875
261.63,0.4,0.093994140625
261.63,0.6,0.390625
261.63,0.8,0.4375
261.63,1.0,0.26788330078125
277.18,0.2,0.04058837890625
277.18,0.4,0.091796875
277.18,0.6,0.15234375
277.18,0.8,1.0
277.18,1.0,0.26788330078125
293.66,0.2,0.02474212646484375
293.66,0.4,0.06146240234375
293.66,0.6,0.093994140625
293.66,0.8,0.15234375
293.66,1.0,0.19268798828125
311.13,0.2,0.021672363281250002
311.13,0.4,0.0533447265625
311.13,0.6,0.090576171875
311.13,0.8,0.15234375
311.13,1.0,0.1785888671875
329.63,0.2,0.0347900390625
329.63,0.4,0.091796875
329.63,0.6,1.0
329.63,0.8,1.0
329.63,1.0,0.246734619140625
349.23,0.2,0.021672363281250002
349.23,0.4,0.0615234375
349.23,0.6,1.0
349.23,0.8,1.0
349.23,1.0,0.16448974609375
369.99,0.2,0.031375885009765625
369.99,0.4,0.0811767578125
369.99,0.6,0.3671875
369.99,0.8,0.4375
369.99,1.0,0.25164794921875
392.0,0.2,0.03765106201171875
392.0,0.4,0.093994140625
392.0,0.6,0.4375
392.0,0.8,0.53125
392.0,1.0,0.32470703125
415.3,0.2,0.031375885009765625
415.3,0.4,0.091796875
415.3,0.6,1.0
415.3,0.8,1.0
415.3,1.0,0.2691650390625
440.0,0.2,0.021672363281250002
440.0,0.4,0.0615234375
440.0,0.6,1.0
440.0,0.8,1.0
440.0,1.0,0.1785888671875
466.16,0.2,0.02474212646484375
466.16,0.4,0.056610107421875
466.16,0.6,0.091796875
466.16,0.8,0.15234375
466.16,1.0,0.215118408203125
493.88,0.2,0.031375885009765625
493.88,0.4,0.091796875
493.88,0.6,1.0
493.88,0.8,1.0
493.88,1.0,0.32470703125
523.25,0.2,0.020618438720703125
523.25,0.4,0.0640869140625
523.25,0.6,0.296875
523.25,0.8,0.3671875
523.25,1.0,0.2093505859375
554.37,0.2,0.01900482177734375
554.37,0.4,1.0
554.37,0.6,1.0
554.37,0.8,1.0
554.37,1.0,0.2178955078125
587.33,0.2,0.03765106201171875
587.33,0.4,0.1068115234375
587.33,0.6,0.515625
587.33,0.8,0.5625
587.33,1.0,0.357177734375
622.25,0.2,0.028507232666015625
622.25,0.4,0.091796875
622.25,0.6,1.0
622.25,0.8,1.0
622.25,1.0,0.2691650390625
659.26,0.2,0.01900482177734375
659.26,0.4,0.0615234375
659.26,0.6,1.0
659.26,0.8,1.0
659.26,1.0,0.21148681640625
698.46,0.2,0.0164947509765625
698.46,0.4,0.2734375
698.46,0.6,0.390625
698.46,0.8,0.484375
698.46,1.0,0.230712890625
739.99,0.2,0.033111572265625
739.99,0.4,0.07440185546875
739.99,0.6,0.15380859375
739.99,0.8,0.236328125
739.99,1.0,0.333251953125
783.99,0.2,0.02474212646484375
783.99,0.4,0.07476806640625
783.99,0.6,0.3671875
783.99,0.8,0.484375
783.99,1.0,0.292236328125
830.61,0.2,0.021514892578125
830.61,0.4,0.34375
830.61,0.6,0.4375
830.61,0.8,0.5625
830.61,1.0,0.281982421875
880.0,0.2,0.0164947509765625
880.0,0.4,0.2734375
880.0,0.6,0.3671875
880.0,0.8,0.4375
880.0,1.0,0.2178955078125
