frequency,velocity,gain
130.81,0.2,0.1016
130.81,0.4,0.6667
130.81,0.6,0.6667
130.81,0.8,0.6667
130.81,1.0,0.6667
138.59,0.2,0.1016
138.59,0.4,0.6667
138.59,0.6,0.6667
138.59,0.8,0.6667
138.59,1.0,0.6667
146.83,0.2,0.0612
146.83,0.4,0.6667
146.83,0.6,0.6667
146.83,0.8,0.6667
146.83,1.0,0.5000
155.56,0.2,0.1016
155.56,0.4,0.1979
155.56,0.6,0.3542
155.56,0.8,0.5000
155.56,1.0,0.6667
164.81,0.2,0.1198
164.81,0.4,0.2917
164.81,0.6,0.4167
164.81,0.8,0.6667
164.81,1.0,1.0000
174.61,0.2,0.1016
174.61,0.4,0.2292
174.61,0.6,0.3750
174.61,0.8,0.5000
174.61,1.0,0.8333
185.0,0.2,0.0612
185.0,0.4,0.6667
185.0,0.6,0.6667
185.0,0.8,0.6667
185.0,1.0,0.4167
196.0,0.2,0.1016
196.0,0.4,0.6667
196.0,0.6,0.6667
196.0,0.8,0.6667
196.0,1.0,0.6667
207.65,0.2,0.1016
207.65,0.4,0.6667
207.65,0.6,0.6667
207.65,0.8,0.6667
207.65,1.0,0.6667
220.0,0.2,0.1016
220.0,0.4,0.6667
220.0,0.6,0.6667
220.0,0.8,0.6667
220.0,1.0,0.6667
233.08,0.2,0.0612
233.08,0.4,0.1198
233.08,0.6,0.2292
233.08,0.8,0.3542
233.08,1.0,0.5000
246.94,0.2,0.0410
246.94,0.4,0.6667
246.94,0.6,0.6667
246.94,0.8,0.6667
246.94,1.0,0.2917
261.63,0.2,0.0612
261.63,0.4,0.6667
261.63,0.6,0.6667
261.63,0.8,0.6667
261.63,1.0,0.5000
277.18,0.2,0.1016
277.18,0.4,0.6667
277.18,0.6,0.6667
277.18,0.8,0.6667
277.18,1.0,0.6667
293.66,0.2,0.1016
293.66,0.4,0.6667
293.66,0.6,0.6667
293.66,0.8,0.6667
293.66,1.0,0.6667
